Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3179483,76343,1603.30,MIDLAND BUILDING SUPPLIES LIMITED,485437,Construction,BUILDING SERVICES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3179488,20001442,849.60,HARSCO METALS GROUP LTD,493119,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3179489,20001540,903.10,HARSCO METALS GROUP LTD,493119,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3179490,20001541,859.00,HARSCO METALS GROUP LTD,493119,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3179491,20001542,895.40,HARSCO METALS GROUP LTD,493119,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3179492,20001543,881.10,HARSCO METALS GROUP LTD,493119,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3179501,418473,1061.12,SALT UNION LIMITED,493089,Unclassified Trade,CHEMICALS & ALLIED PRODUCTS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3179514,8103563750,680.00,CROMWELL GROUP (HOLDINGS) LTD,204144,Building Construction Materials,TOOL MERCHANTS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-01-03,3181304,SHEFFIELDCOUNCIL,3400.00,SAFETY FIRST ICE CLEATS LTD,562410,Clothing,SAFETY EQUIPMENT & CLOTHING
CLAIMS,8740,MOTOR VEHICLE,2012-01-03,3181517,ERS INVOICE61037,2850.00,REDACTED PERSONAL DATA,562754,Unclassified Non Trade,Unclassified Non Trade
EQUIPMENT,5610,AGENCY STAFF,2012-01-03,3181518,ERS INVOICE61038,74537.00,SHEFFIELD PRIMARY CARE TRUST,504799,Unclassified Non Trade,HEALTH AUTHORITIES
TRANSPORT FLEET PASSENGER SERV,8110,"CLOTHING, UNIFORM AND LAUNDRY",2012-01-03,3141950,22901,1573.20,THE STITCH FACTORY LTD,312364,Clothing,UNIFORMS & STAFF WEAR
CONTRACT,8490,OTHER PROFESSIONAL FEES,2012-01-03,3148827,0408143-2011-10,602.03,LANGUAGE LINE LIMITED,471915,Human Resources,TRANSLATORS & INTERPRETERS
CONTRACT,8050,FURNITURE PURCHASES,2012-01-03,3155828,TK100268,2763.74,THOMAS KNEALE & CO. LTD.,441585,Furniture,"BEDS, BEDDING & BLANKETS"
CONTRACT,8050,FURNITURE PURCHASES,2012-01-03,3161322,15670,726.55,MAKEPORT 2001 LTD,350362,Furniture,FURNISHERS
