Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067471,2190,1936.00,JJS SCAFFOLDING,500893,Construction,CONSTRUCTION CONTRACTORS - GEN
ECS MEALS,8150,CONTRACT CATERING,2011-07-01,3066537,92023355,4162.00,CHARTWELLS,321443,Catering,CATERERS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067475,41861,3300.00,W D M LIMITED,493108,Construction,ENGINEERS - GENERAL
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067470,16929,550.00,HITACHI CAPITAL INVOICE FINANCE,430983,Financial Services,FACTORING SERVICES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067474,2850050384,11337.98,VEOLIA ENVIRONMENTAL SERVICES,464059,Environmental Services,WASTE DISPOSAL SERVICES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067476,7452,2102.10,GLEADLESS CIVIL ENGINEERING LTD,412782,Highway Equipment and Materials,PAVING & DRIVEWAY CONTRACTORS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067477,7453,1291.30,GLEADLESS CIVIL ENGINEERING LTD,412782,Highway Equipment and Materials,PAVING & DRIVEWAY CONTRACTORS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067478,7454,1291.30,GLEADLESS CIVIL ENGINEERING LTD,412782,Highway Equipment and Materials,PAVING & DRIVEWAY CONTRACTORS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067479,7455,1994.30,GLEADLESS CIVIL ENGINEERING LTD,412782,Highway Equipment and Materials,PAVING & DRIVEWAY CONTRACTORS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067481,7456,2102.10,GLEADLESS CIVIL ENGINEERING LTD,412782,Highway Equipment and Materials,PAVING & DRIVEWAY CONTRACTORS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067482,7459,1029.55,GLEADLESS CIVIL ENGINEERING LTD,412782,Highway Equipment and Materials,PAVING & DRIVEWAY CONTRACTORS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067483,A27,924.00,CHRIS WHITE,493334,Transport,ROAD HAULAGE SERVICES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067485,MFG043,7587.00,MFG CONSTRUCTION LTD,526453,Construction,CONSTRUCTION CONTRACTORS - GEN
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067487,YD20121106,1553.14,YEDL,349525,Utilities,ELECTRICITY COMPANIES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067488,YD20121109,7235.55,YEDL,349525,Utilities,ELECTRICITY COMPANIES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067489,YD20121115,2001.23,YEDL,349525,Utilities,ELECTRICITY COMPANIES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067490,YD20121121,5370.84,YEDL,349525,Utilities,ELECTRICITY COMPANIES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067491,1099275548,2489.67,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067495,YD20121131,1683.32,YEDL,349525,Utilities,ELECTRICITY COMPANIES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067499,YD20121139,1025.78,YEDL,349525,Utilities,ELECTRICITY COMPANIES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067504,1106/03966,892.00,HATHER PLANT HIRE LIMITED,493155,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067508,18633,2346.42,ACIDISATION CO LIMITED,414647,Environmental Services,WASTE DISPOSAL SERVICES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-07-01,3067720,2440,1515.12,PREMIER POLYTUNNELS LTD,554344,Horticultural,HORTICULTURAL EQUIPMENT MNFRS
SCC BALANCE SHEET,2050,CONTRACTOR BONDS (HIGH CONS),2011-07-01,3067973,ERS INVOICE52936,2500.00,E BARKER & SONS (HILLSBOROUGH) LTD,553428,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SCC BALANCE SHEET,2050,CONTRACTOR BONDS (HIGH CONS),2011-07-01,3067974,ERS INVOICE52937,1250.00,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
PURCHASING ELDERLY,9190,EXTRA CARE HOUSING,2011-07-01,3067976,ERS INVOICE52939,126130.90,THE EXTRACARE CHARITABLE TRUST (SP),486025,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2011-07-01,3067982,ERS INVOICE52945,1000.00,ARBOURTHORNE & DISTRICT T & R A,302412,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2011-07-01,3067983,ERS INVOICE52946,1000.00,ARBOURTHORNE COMMUNITY FORUM,508153,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2011-07-01,3067984,ERS INVOICE52947,770.00,ARBOURTHORNE COMMUNITY FORUM,508153,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2011-07-01,3067985,ERS INVOICE52948,2000.00,NORFOLK HERITAGE PARK CRECHE,304738,Unclassified Non Trade,COMMUNITY CENTRES
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2011-07-01,3067987,ERS INVOICE52949,1000.00,NORFOLK PARK TENANTS,527023,Unclassified Non Trade,COMMUNITY PROJECTS
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2011-07-01,3067990,ERS INVOICE52951,650.00,THE ARBOURTHORNE CENTRE &  FORUM LTD,481051,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2011-07-01,3067991,ERS INVOICE52952,1000.00,MAGNETIZED,545612,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
COMMUNITY ASSEMBLY EAST,9120,OTHER AGENCIES,2011-07-01,3067995,ERS INVOICE52956,1104.00,THE ARBOURTHORNE CENTRE &  FORUM LTD,481051,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY ASSEMBLY SOUTH WEST,8180,GRANTS,2011-07-01,3067996,ERS INVOICE52957,500.00,BRADWAY ACTION GROUP,504382,Unclassified Non Trade,COMMUNITY PROJECTS
COMMUNITY ASSEMBLY SOUTH WEST,8180,GRANTS,2011-07-01,3067997,ERS INVOICE52958,1820.00,WESTMINSTER AT LODGE MOOR,381293,Unclassified Non Trade,"HOUSING ASSOCIATIONS, SOCIETIE"
COMMUNITY ASSEMBLY SOUTH WEST,8180,GRANTS,2011-07-01,3067998,ERS INVOICE52959,520.00,CROSSPOOL FESTIVAL COMMITTEE,539133,Unclassified Non Trade,COMMUNITY PROJECTS
