Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
ARBOURTHORNE 5M'S REFURB,1143,COMPENSATION,2014-07-01,3668946,ERS INVOICE102687,4523.71,REDACTED PERSONAL DATA,596983,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
NATIONAL ASSISTANCE CONTRACT,6210,RENTS,2014-07-01,3668947,ERS INVOICE102688,375.00,TAPTON ESTATES PROPERTIES LTD,449360,,PROPERTY & ESTATE MANAGEMENT
NATIONAL ASSISTANCE CONTRACT,6210,RENTS,2014-07-01,3668950,ERS INVOICE102691,363.00,SANCTUARY MIDLANDS,437596,,"HOUSING ASSOCIATIONS, SOCIETIE"
NATIONAL ASSISTANCE CONTRACT,6210,RENTS,2014-07-01,3668951,ERS INVOICE102692,350.00,CAPITAL PROPERTIES,478220,,LETTING AGENTS
NATIONAL ASSISTANCE CONTRACT,6210,RENTS,2014-07-01,3668952,ERS INVOICE102693,390.00,MU PROPERTIES,583024,,LETTING AGENTS
EP NORTH EAST LINC,1194,OTHER FEES,2014-07-01,3668963,ERS INVOICE102710,1200.00,EMPOWER,595284,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
EP NORTH EAST LINC,1194,OTHER FEES,2014-07-01,3668964,ERS INVOICE102711,675.00,CARPET KINGDOM,595246,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
EP NORTH EAST LINC,1194,OTHER FEES,2014-07-01,3668965,ERS INVOICE102712,9341.00,CKP GROUP,594102,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
DEVELOPMENT CONTROL,4180,PLANNING APPLICATION FEES,2014-07-01,3668973,ERS INVOICE102720,275.00,DELOITTE LLP,597669,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
HULL - HUMBER SUB REGION HAL,1194,OTHER FEES,2014-07-01,3668976,ERS INVOICE102723,10000.00,REDACTED PERSONAL DATA,564808,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
OLDER PEOPLES MENTAL HEALTH,9160,PARTNERSHIP CONTRACTS,2014-07-01,3669059,ERS INVOICE102724,283531.00,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,,HOSPITALS
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2014-07-01,3669060,ERS INVOICE102726,1500.00,OCHIBA BUSINESS SOLUTIONS,597473,,COMPUTER CONSULTANTS
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2014-07-01,3669061,ERS INVOICE102727,1500.00,LSA MEATS LTD,597659,,MEAT - WHOLESALE
STUDENT FINANCIAL SUPPORT,9120,OTHER AGENCIES,2014-07-01,3669062,ERS INVOICE102728,1500.00,LSA MEATS LTD,597659,,MEAT - WHOLESALE
HEALTH INTERVENTION & PREVENTI,8440,FEE EXPENSES,2014-07-01,3650522,10/5525/34BA/40310,6405.00,SHEFFIELD WILDLIFE TRUST,347103,,CHARITIES & VOLUNTARY ORGANISA
STANIFORTH ROAD WORKSHOPS,7010,ROUTINE VEHICLE REPAIR & MTCE,2014-07-01,3654326,INV0079846,4662.01,TRAPEZE GROUP (UK) LIMITED,507965,,COMPUTER SYSTEMS & SOFTWARE (D
SOUTH EAST (SH),1157,DWELLINGS MAIN CONTRACT,2014-07-01,3654731,13110067,83807.40,KIER SHEFFIELD LLP,352687,,PROPERTY MAINTENANCE & REPAIRS
SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2014-07-01,3655721,AMY0412,5773.98,AMY'S HOUSE LTD,513258,,CHARITIES & VOLUNTARY ORGANISA
PFI 4,6030,REPAIRS AND MTCE - RESPONSIVE,2014-07-01,3657246,RINV/00000217,2655.02,PARADIGM (SHEFFIELD BSF) LIMITED,472691,,FACILITIES MANAGEMENT
PFI 4,6270,SERVICE / PFI UNITARY CHARGE,2014-07-01,3657246,RINV/00000217,774177.96,PARADIGM (SHEFFIELD BSF) LIMITED,472691,,FACILITIES MANAGEMENT
PFI 4,8440,FEE EXPENSES,2014-07-01,3657246,RINV/00000217,8968.63,PARADIGM (SHEFFIELD BSF) LIMITED,472691,,FACILITIES MANAGEMENT
HOSPITAL SOCIAL WORK - GENERAL,8390,STATIONERY,2014-07-01,3657707,6900679778,287.83,LYRECO UK LTD,593417,,OFFICE FURNITURE & EQUIPMENT
CONTRACT PAYMENTS Ð DRUGS,9030,HEALTH,2014-07-01,3658587,FJTB/00000013,760.80,DISPENSING HEALTHCARE T/A SWIFT PHARMACY,585370,,PUBLIC HEALTH SUPPLIERS
HEALTH INTERVENTION & PREVENTI,8490,TRANSLATN/SIGN/INTERPRET FEES,2014-07-01,3659002,3375769,682.92,LANGUAGELINE SOLUTIONS,471915,,TRANSLATORS & INTERPRETERS
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2014-07-01,3663077,16468,5949.50,AGE UK,306684,,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2014-07-01,3663079,16469,32391.00,AGE UK,306684,,CHARITIES & VOLUNTARY ORGANISA
PURCHASING LEARNING DISABILITI,8470,LEGAL FEES,2014-07-01,3663549,573829,750.00,ST PHILIPS CHAMBERS LTD,594795,,BARRISTERS
TOUR DE FRANCE,8440,FEE EXPENSES,2014-07-01,3663970,YBE/CL/315,7000.00,YELLOW BUS EVENTS LTD,505362,,"EXHIBITION, EVENT & TRADE FAIR"
SCHOOL DRINKING MILK,8140,GROCERIES,2014-07-01,3664117,20,18883.21,MEDINA CAPITAL DAIRY CO LTD,524568,,DAIRIES
PURCHASING LEARNING DISABILITI,8470,LEGAL FEES,2014-07-01,3664151,903737,712.50,MR J P A P O'BRIEN,516793,,BARRISTERS
PARENTING STRATEGY,8440,FEE EXPENSES,2014-07-01,3664287,1109,325.00,ROUNDABOUT CRECHE SERVICE,462116,,NURSERIES & CRECHES
PARENTING STRATEGY,8440,FEE EXPENSES,2014-07-01,3664288,1105,260.00,ROUNDABOUT CRECHE SERVICE,462116,,NURSERIES & CRECHES
PARENTING STRATEGY,8440,FEE EXPENSES,2014-07-01,3664289,1104,312.00,ROUNDABOUT CRECHE SERVICE,462116,,NURSERIES & CRECHES
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2014-07-01,3664579,41810,4117.50,NORTH SHEFFIELD FEDERATION FOR THE,304728,,CHARITIES & VOLUNTARY ORGANISA
HARD FM,6030,REPAIRS AND MTCE - RESPONSIVE,2014-07-01,3664647,9317,2590.00,AMK FENCE-IN  LTD,202934,,FENCING CONTRACTORS
ARCHIVES & CONSERVATION,8620,COMPUTER SOFTWARE LICENCES,2014-07-01,3665167,801740,2152.71,AXIELL CALM LIMITED,308967,,COMPUTER SYSTEMS & SOFTWARE (D
EVENTS IN PARKS,8200,EVENTS EXPENDITURE,2014-07-01,3665681,INV-0054,850.00,FOX AUDIO HIRE LTD,306816,,SOUND EQUIPMENT HIRE & INSTALL
ARBOURTHORNE 5M'S REFURB,1143,COMPENSATION,2014-07-01,3665684,703905,379.06,PICKFORDS,573763,,REMOVALS - OVERSEAS
ARBOURTHORNE 5M'S REFURB,1143,COMPENSATION,2014-07-01,3665685,703908,379.06,PICKFORDS,573763,,REMOVALS - OVERSEAS
ARBOURTHORNE 5M'S REFURB,1143,COMPENSATION,2014-07-01,3665686,697614,379.06,PICKFORDS,573763,,REMOVALS - OVERSEAS
EVENTS IN PARKS,8200,EVENTS EXPENDITURE,2014-07-01,3666316,4605,1624.20,FLORIDA MARQUEES LIMITED,392481,,"MARQUEES, TENTS & PORTABLE FLO"
NON CONTRACT TREATMENT COSTS,9030,HEALTH,2014-07-01,3666327,67232,387.99,EXCHANGE SUPPLIES LTD,420328,,PUBLISHERS
SCHOOL DRINKING MILK,8140,GROCERIES,2014-07-01,3666331,21,18610.52,MEDINA CAPITAL DAIRY CO LTD,524568,,DAIRIES
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2014-07-01,3666335,231,4023.00,SHEFFIELD CITIZENS ADVICE AND LAW CENTRE,588762,,COUNSELLING & ADVICE SERVICES
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2014-07-01,3666439,14080,7776.00,SHEFFIELD ROYAL SOCIETY FOR THE BLIND,306116,,CHARITIES & VOLUNTARY ORGANISA
ADULT SOCIAL CARE PURCHASING,9160,PARTNERSHIP CONTRACTS,2014-07-01,3666444,14081,3758.00,SHEFFIELD ROYAL SOCIETY FOR THE BLIND,306116,,CHARITIES & VOLUNTARY ORGANISA
COMMUNICATIONS,8550,OTHER SERVICES,2014-07-01,3666451,75314,443.00,DO NOT USE - WHITESPRINT GROUP LIMITED,202894,,PRINTERS
OBSOLETE HEATING,1157,DWELLINGS MAIN CONTRACT,2014-07-01,3666460,3789,15722.00,DENTON & NICKELS LTD,596087,,CENTRAL HEATING - INSTALLATION
SCHOOL MEALS,8130,CATERING SUPPLIES,2014-07-01,3666780,1904/90757586,7689.43,MITIE PFI LIMITED,472380,,FACILITIES MANAGEMENT
SCHOOL MEALS,8150,CONTRACT CATERING - INVOICE,2014-07-01,3666780,1904/90757586,2791.35,MITIE PFI LIMITED,472380,,FACILITIES MANAGEMENT
CULTURAL DIRECTOR,8440,FEE EXPENSES,2014-07-01,3666782,10897,1500.00,HR MEDIA LTD,330818,,PUBLIC RELATIONS CONSULTANTS
RANGER SERVICE,8060,MATERIALS AND SUPPLIES GENERAL,2014-07-01,3666859,232,450.00,HN WOODLAND & ESTATE MANAGEMENT,317072,,TREE WORK & FORESTRY SERVICES
MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2014-07-01,3666877,6375,275.00,T & T CONSTRUCTION,208772,,CONSTRUCTION CONTRACTORS - GEN
MOORFOOT LEARNING CENTRE,8490,OTHER PROFESSIONAL FEES,2014-07-01,3666893,2810005058,445.50,YORKSHIRE AMBULANCE SERVICE NHS TRUST,329215,,HOSPITALS
MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2014-07-01,3666941,6386,250.00,T & T CONSTRUCTION,208772,,CONSTRUCTION CONTRACTORS - GEN
SOUTH EAST (SH),1157,DWELLINGS MAIN CONTRACT,2014-07-01,3666972,13120025,7668.60,KIER SHEFFIELD LLP,352687,,PROPERTY MAINTENANCE & REPAIRS
HEATING BREAKDOWNS,1157,DWELLINGS MAIN CONTRACT,2014-07-01,3666973,13120022,17392.89,KIER SHEFFIELD LLP,352687,,PROPERTY MAINTENANCE & REPAIRS
NEW HEATING INSTALLATIONS,1157,DWELLINGS MAIN CONTRACT,2014-07-01,3666974,13120024,646.05,KIER SHEFFIELD LLP,352687,,PROPERTY MAINTENANCE & REPAIRS
OBSOLETE HEATING,1157,DWELLINGS MAIN CONTRACT,2014-07-01,3666976,13120023,831.46,KIER SHEFFIELD LLP,352687,,PROPERTY MAINTENANCE & REPAIRS
PARENTING STRATEGY,8440,FEE EXPENSES,2014-07-01,3666988,1112,292.50,ROUNDABOUT CRECHE SERVICE,462116,,NURSERIES & CRECHES
NORTON NURSERY,8060,MATERIALS AND SUPPLIES GENERAL,2014-07-01,3667220,40462,11789.39,LES HALMAN NURSERIES LTD,580259,,NURSERIES - WHOLESALE
RGF 3,8550,OTHER SERVICES,2014-07-01,3667427,4145,300.00,GARRY THICKETT LTD,590656,,ACCOUNTANTS
TOUR DE FRANCE,8350,MISCELLANEOUS EXPENSES,2014-07-01,3667449,45737,1006.00,STEEL CITY MARKETING LTD.,208648,,PROMOTIONAL ITEMS
OUT OF CITY GUM,9030,HEALTH,2014-07-01,3668033,82124042,466.00,DONCASTER & BASSETLAW HOSPITALS  FOUNDAT,585509,,HOSPITALS
SERVICE OVERHEADS,6280,HIRE OF PREMISES,2014-07-01,3668313,LDDS071,560.00,HANDSWORTH COMMUNITY NURSERY,297395,,NURSERIES & CRECHES
C & YP 5-19,9030,HEALTH,2014-07-01,3668317,1015000227,702.25,NHS SUPPLY CHAIN,587523,,PUBLIC HEALTH SUPPLIERS
CLAIMS,8740,PUBLIC LIABILITY,2014-07-01,3668526,01/4783302,565.00,CLARITY TRAVEL MANAGEMENT,202987,,TRAVEL AGENTS & HOLIDAY COMPAN
CLAIMS,8740,PUBLIC LIABILITY,2014-07-01,3668527,01/4876372,287.50,CLARITY TRAVEL MANAGEMENT,202987,,TRAVEL AGENTS & HOLIDAY COMPAN
CLAIMS,8740,PUBLIC LIABILITY,2014-07-01,3668528,01/4876379,287.50,CLARITY TRAVEL MANAGEMENT,202987,,TRAVEL AGENTS & HOLIDAY COMPAN
TOWN HALL ROOF & MASONRY REP,1161,NC&A MAIN CONTRACT,2014-07-01,3668533,CE03865/2,24400.00,MAYSAND LIMITED,540767,,BUILDING REFURBISHMENT & RESTO
HURLFIELD VIEW EXTENSION,1161,NC&A MAIN CONTRACT,2014-07-01,3668535,CO04345/1,67600.00,INTERSERVE CONSTRUCTION LIMITED,547901,,BUILDERS
MOOR PUBLIC REALM PHASE 2,1161,NC&A MAIN CONTRACT,2014-07-01,3668538,PL03600/13,10500.00,NORTH MIDLAND CONSTRUCTION PLC,315929,,BUILDERS
NON CONTRACT TREATMENT COSTS,9030,HEALTH,2014-07-01,3668539,67423,293.80,EXCHANGE SUPPLIES LTD,420328,,PUBLISHERS
TOUR DE FRANCE,8440,FEE EXPENSES,2014-07-01,3668548,116,2220.00,CR8 EVENT SOLUTIONS,596000,,MARKETING CONSULTANTS & SERVIC
E LEARNING,8620,COMPUTER SOFTWARE PURCHASES,2014-07-01,3668549,9524,273.00,SOUTH WEST GRID FOR LEARNING TRUST,589041,,COMPUTER SYSTEMS & SOFTWARE (S
TOUR DE FRANCE,8350,MISCELLANEOUS EXPENSES,2014-07-01,3668558,3032652,1000.00,SHEFFIELD INTERNATIONAL VENUES LTD.,208389,,SPORTS GROUNDS & STADIUMS
CLOSED LANDFILL SITES,8440,FEE EXPENSES,2014-07-01,3668559,87158,1268.41,HARPERS ENVIRONMENTAL LTD,537022,,ENVIRONMENTAL CONSULTANTS
CULTURE STRATEGY,8440,FEE EXPENSES,2014-07-01,3668779,SIN007279,300.00,SHEFFIELD THEATRES TRUST,297678,,THEATRES
PARKS OPS SOUTH & SOUTH EAST,6190,WATER SERVICES,2014-07-01,3668733,5830038145,287.31,SEVERN TRENT WATER LTD,388402,,WATER COMPANIES
PARKS OPS SOUTH & SOUTH EAST,6190,WATER SERVICES,2014-07-01,3668735,7030340358,545.78,SEVERN TRENT WATER LTD,388402,,WATER COMPANIES
STADIA TECHNOLOGY PARK,6160,GAS,2014-07-01,3668756,6001550077,318.21,NPOWER,467390,,ELECTRICITY COMPANIES
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2014-07-01,3668694,J930153,301.37,REDACTED PERSONAL DATA,580322,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,SUPPORT PLANNING COSTS,2014-07-01,3668695,J930154,280.00,REDACTED PERSONAL DATA,558028,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2014-07-01,3668699,J930153,438.39,A4E,547567,,TRAINING SERVICES
ADULT SOCIAL CARE PURCHASING,9190,DIRECT PAYMENTS,2014-07-01,3668700,J930153,1181.25,REDACTED PERSONAL DATA,556288,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2014-07-01,3668701,J930153,3860.00,REDACTED PERSONAL DATA,556454,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING,9190,DIRECT PAYMENTS,2014-07-01,3668702,J930153,1160.00,REDACTED PERSONAL DATA,561085,Social Community Care,CAREFIRST DIRECT PAYMENTS
ADULT SOCIAL CARE PURCHASING,4260,RESIDENTIAL COSTS RECOVERED,2014-07-01,3668690,J930149 200714,2452.38,LEAHYRST RESIDENTIAL CARE HOME,361842,,RESIDENTIAL CARE HOMES
ADULT SOCIAL CARE PURCHASING,9200,SHORT TERM RESIDENTIAL CARE,2014-07-01,3668691,J930064 220614,8035.02,PADDOCK HILL (SHEFFCARE LTD),361797,,RESIDENTIAL CARE HOMES
CORONIAL SERVICES,8440,WITNESS FEES,2014-07-02,3669540,ERS INVOICE102885,393.60,REDACTED PERSONAL DATA,597569,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2014-07-02,3669542,ERS INVOICE102887,521.90,REDACTED PERSONAL DATA,554404,,DOCTORS
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2014-07-02,3669543,ERS INVOICE102888,595.90,DR C A WILSON,554965,,DOCTORS
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2014-07-02,3669544,ERS INVOICE102889,595.90,DR C A WILSON,554965,,DOCTORS
CORONIAL SERVICES,8440,FEE EXPENSES,2014-07-02,3669545,ERS INVOICE102890,600.00,REDACTED PERSONAL DATA,550665,,DOCTORS
VSP DELIVER,7140,PUBLIC TRANSPORT COSTS,2014-07-02,3669549,ERS INVOICE102894,360.00,SHEFFIELD COMMUNITY TRANSPORT,296356,,CHARITIES & VOLUNTARY ORGANISA
DISCETIONARY HOUSING PAYMENTS,9480,RENT ALLOWANCE BACS,2014-07-02,3669557,ERS INVOICE102908,595.00,REDACTED PERSONAL DATA,545718,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
TOUR DE FRANCE,8440,FEE EXPENSES,2014-07-02,3669560,ERS INVOICE102911,12802.00,REGATHER CO-OPERATIVE LIMITED,537343,,BUSINESS & TRADE ORGANISATIONS
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2014-07-02,3669562,ERS INVOICE102913,287.70,HIGH PEAK FORENSICS,575858,,DOCTORS
CORONIAL SERVICES,8440,PATHOLOGIST INVOICE,2014-07-02,3669564,ERS INVOICE102915,678.50,HIGH PEAK FORENSICS,575858,,DOCTORS
