Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
ADOPTION SERVICE,8440,FEE EXPENSES,2014-10-01,3712736,ERS INVOICE106254,450.00,REDACTED PERSONAL DATA,597105,,ADOPTION & FOSTERING
SOUTH WEST,8180,GRANTS,2014-10-01,3712867,ERS INVOICE106326,1000.00,TOTLEY RESIDENTS ASSOCIATION,466292,,COMMUNITY PROJECTS
PARTNERSHIP & GRANT AID MH,9160,PARTNERSHIP CONTRACTS,2014-10-01,3672282,2615,2566.00,MANOR & CASTLE ? OPERATIONS,422084,,DEVELOPMENT AGENCIES
EAST MAST,8440,FEE EXPENSES,2014-10-01,3685241,41851,283.80,HACKENTHORPE HALL NURSERY,311874,,NURSERIES & CRECHES
SUBSTANCE MISUSE (SSCB),8440,FEE EXPENSES,2014-10-01,3687108,TP062/2014,500.73,LEARN 2,596418,,NURSERIES & CRECHES
HARD FM,6030,DAY TO DAY REPAIRS,2014-10-01,3693519,1408154347,547.25,HALLAMSHIRE HEATING & AIR CONDITIONING,439606,,AIR CONDITIONING & REFRIGERATI
GENERAL ADMINISTRATION,8440,FEE EXPENSES,2014-10-01,3694490,2572,3500.00,POWERLEAGUE FIVES LTD,319417,,LEISURE & RECREATION CENTRES
GENERAL ADMINISTRATION,8440,FEE EXPENSES,2014-10-01,3694491,2571,3500.00,POWERLEAGUE FIVES LTD,319417,,LEISURE & RECREATION CENTRES
CASTLE MARKET DECOMMISSIONING,1193,CONSULTANTS FEES,2014-10-01,3696738,INV067795,23436.00,CONSTANT SECURITY SERVICES LIMITED,571090,,SECURITY SERVICES
CASTLE MARKET DECOMMISSIONING,1193,CONSULTANTS FEES,2014-10-01,3704935,INV068417,24192.00,CONSTANT SECURITY SERVICES LIMITED,571090,,SECURITY SERVICES
CASTLE MARKET DECOMMISSIONING,1193,CONSULTANTS FEES,2014-10-01,3704936,INV068395,1994.80,CONSTANT SECURITY SERVICES LIMITED,571090,,SECURITY SERVICES
HALLAM RECONFIGURATION,1193,CONSULTANTS FEES,2014-10-01,3706183,547046,7500.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
NORFOLK PARK PMY REPLACEMENT,1193,CONSULTANTS FEES,2014-10-01,3706638,547121,9700.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
GREYSTONES EXPANSION,1193,CONSULTANTS FEES,2014-10-01,3706639,547047,10500.00,TURNER & TOWNSEND,421729,,BUILDING CONSULTANTS
ASSETS MANAGEMENT HQ,8540,SECURITY SERVICES,2014-10-01,3707544,INV068282,1386.00,CONSTANT SECURITY SERVICES LIMITED,501937,,SECURITY SERVICES
