Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
COMMUNITY CENTRES - GENERAL,6030,REPAIRS AND MTCE - RESPONSIVE,2011-01-04,2864997,39852,4952.17,NRC SERVICES LTD,308030,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
LD ACTION BUDGET,8010,EQUIPMENT PURCHASE AND REPAIR,2011-01-04,2897262,2100061558,600.00,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,Unclassified Non Trade,HOSPITALS
ARBOURTHORNE 5M'S SHM (STH),1157,DWELLINGS MAIN CONTRACT,2011-01-04,2911769,27582,3794.00,P N DALY,505797,Construction,CIVIL ENGINEERS
ENHANCED HOUSING DEMO SHM(NTH),1157,DWELLINGS MAIN CONTRACT,2011-01-04,2911769,27582,542.00,P N DALY,505797,Construction,CIVIL ENGINEERS
SWAN COMMISSIONED,1147,DEMOLITION,2011-01-04,2911769,27582,1084.00,P N DALY,505797,Construction,CIVIL ENGINEERS
CHANCET WOOD,1183,PURCHASE OF EQUIPMENT,2011-01-04,2920115,P03382540101,9243.50,ROMPA,208031,Medical,DISABILITY EQUIPMENT - MNFRS &
COMPLEX NEEDS,5610,AGENCY STAFF,2011-01-04,2923709,2100061878,4212.01,SHEFFIELD CARE TRUST (SP),366826,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
MECHANICAL & ELECTRICAL ENGINE,8460,CONSULTANTS FEES,2011-01-04,2927352,309,1812.40,OAKES ASSOCIATES,311714,Consultancy,ENGINEERS - CONSULTING
VALLEY PARK CC,1194,OTHER FEES,2011-01-04,2927527,INV050955,1123.88,CONSTANT SECURITY SERVICES LIMITED,501937,Facilities Management,SECURITY SERVICES
ARCHITECTS - SCHEME,8440,FEE EXPENSES,2011-01-04,2928049,1049888,792.86,WERNICK HIRE LIMITED,367191,Construction,BUILDINGS - SECTIONAL & PORTAB
SOUTH EAST AREA MANAGEMENT FEE,5610,AGENCY STAFF,2011-01-04,2929647,50653,719.93,LYNX EMPLOYMENT SERVICES LTD,349384,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
SOUTH EAST AREA MANAGEMENT FEE,5610,AGENCY STAFF,2011-01-04,2929658,50697,734.82,LYNX EMPLOYMENT SERVICES LTD,349384,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
LEARNING W/ DISABILITIES&DIFFI,9120,OTHER AGENCIES,2011-01-04,2929677,432,13500.00,U-XPLORE LIMITED,527846,Education,EDUCATIONAL SERVICES
SPECIAL NEEDS ADMIN,8440,FEE EXPENSES,2011-01-04,2929700,1055,850.00,MEDIATION WORKS,485199,Consultancy,MEDIATION
SOUTH EAST AREA MANAGEMENT FEE,5610,AGENCY STAFF,2011-01-04,2929938,50746,734.82,LYNX EMPLOYMENT SERVICES LTD,349384,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
CHANCET WOOD,1167,RENOVATIONS & REFURBISHMENTS,2011-01-04,2930111,12693,660.60,PYRAMID CARPETS,243612,Building Construction Materials,CARPETS & RUGS - RETAIL
BIG SPECIALIST SUPPORT FRAMEWO,8440,FEE EXPENSES,2011-01-04,2930744,6980,33000.00,THE PRINCE'S TRUST,533155,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
WOOD LANE,8010,EQUIPMENT PURCHASE AND REPAIR,2011-01-04,2931632,7631,979.00,DALE OFFICE FURNITURE,513565,Furniture,OFFICE FURNITURE & EQUIPMENT
ESTATE & TENANCY MGMT UNIT,8350,MISCELLANEOUS EXPENSES,2011-01-04,2931656,8125/10,500.00,HOUSEMARK LTD,317802,Human Resources,INFORMATION SERVICES
STOCKSBRIDGE LEISURE CENTRE,8620,ICT LEASE/RENTALS,2011-01-04,2931877,3015390,1196.00,SHEFFIELD INTERNATIONAL VENUES (EIS),285674,Leisure Services,SPORTS GROUNDS & STADIUMS
SUSTAINABLE MODES OF TRAVEL,1165,NC&A OTHER,2011-01-04,2931918,INV000312,7250.00,PHILLIMORE COMMUNITY PRIMARY SCHOOL,312475,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
LICENSING,5750,TRAINING EXPENDITURE,2011-01-04,2932079,DAV/J11/3048,720.00,NALEO,316060,Unclassified Non Trade,NATIONAL ASSOCIATIONS
SPRINGS LEISURE CENTRE,8110,"CLOTHING, UNIFORM AND LAUNDRY",2011-01-04,2932094,5122,865.45,CHRIS GILBODY ADVERTISING PRODUCTS,338652,Stationery,CALENDAR SPECIALISTS
SUPPORT FUND,9120,OTHER AGENCIES,2011-01-04,2932172,724,9000.00,KELVIN MEDIA PRODUCTIONS,475794,Human Resources,TRAINING CENTRES
SUPPORT FUND,9120,OTHER AGENCIES,2011-01-04,2932173,167,10250.00,SIGNPOST PROJECT,486881,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
CHANCET WOOD,1167,RENOVATIONS & REFURBISHMENTS,2011-01-04,2932198,P03403170101,613.80,ROMPA,208031,Medical,DISABILITY EQUIPMENT - MNFRS &
SWAN COMMISSIONED,1147,DEMOLITION,2011-01-04,2932216,27679,2710.00,P N DALY,505797,Construction,CIVIL ENGINEERS
RESPONSIVE REPAIRS,6030,OTHER RESPONSIVE REPAIRS,2011-01-04,2932225,10601948,3181.75,RENTOKIL INITIAL UK LTD,437082,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
EXTERNAL CONTRACTS,8440,FEE EXPENSES,2011-01-04,2932713,2100048613,18530.21,SHEFFIELD PCT,455606,Unclassified Non Trade,HEALTH AUTHORITIES
CONTRACT,6210,RENTS,2011-01-04,2933081,20/2010,947.80,EARL MARSHALL GUEST HOUSE,391589,Facilities Management,GUEST HOUSES
RESPONSIVE REPAIRS,6030,OTHER RESPONSIVE REPAIRS,2011-01-04,2933200,10601213,1364.61,RENTOKIL INITIAL UK LTD,437082,Cleaning and Janitorial,CLEANING SERVICES - COMMERCIAL
CHANCET WOOD,1167,RENOVATIONS & REFURBISHMENTS,2011-01-04,2934397,SI33908/JW,2909.72,WORKSOP TARMACADAM CO LTD,209605,Vehicles Not Buses,ROAD CONSTRUCTION EQUIPMENT MN
LICENSING,8060,MATERIALS AND SUPPLIES GENERAL,2011-01-04,2934666,12302,2869.16,VIP SYSTEM LTD.,455617,Vehicles Not Buses,CAR ACCESSORIES & PARTS
HEAD OF PLANNING SERVICES,5750,TRAINING EXPENDITURE,2011-01-04,2935337,DRI04452,500.00,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
CORPORATE PROCUREMENT,8460,CONSULTANTS FEES,2011-01-04,2935490,1010000000000,2625.00,PROGRESSIVE COMPUTER RECRUITMENT LTD,533574,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2011-01-04,2935514,SOARCO/247,31000.00,SOUTHEY & OWLERTON AREA REGENERATION,431475,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
DISADVANTAGED AREA FUNDING,9120,OTHER AGENCIES,2011-01-04,2935515,SOARCO/257,6000.00,SOUTHEY & OWLERTON AREA REGENERATION,431475,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
IBC,8440,FEE EXPENSES,2011-01-04,2935516,210,4750.00,MILBECK HR,410475,Education,EDUCATIONAL SERVICES
