Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3808967,100069 20150331 50359,522.3,REDACTED PERSONAL DATA,333449,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3808967,100069 20150331 50359,978,REDACTED PERSONAL DATA,333449,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3808968,103556 20150331 50359,254.2,REDACTED PERSONAL DATA,333065,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3808969,147500 20150331 50359,1028.00,REDACTED PERSONAL DATA,400934,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-04-02,3808970,147787 20150331 50359,470.8,REDACTED PERSONAL DATA,435614,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3808970,147787 20150331 50359,1554.00,REDACTED PERSONAL DATA,435614,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-04-02,3808972,148313 20150331 50359,320.9,REDACTED PERSONAL DATA,534632,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3808975,149394 20150331 50359,1128.00,REDACTED PERSONAL DATA,453957,,ADOPTION & FOSTERING
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-04-02,3808975,149394 20150331 50359,390,REDACTED PERSONAL DATA,453957,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3808976,149405 20150331 50359,1414.00,REDACTED PERSONAL DATA,408920,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-04-02,3808977,150147 20150331 50359,320.9,REDACTED PERSONAL DATA,410525,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3808978,15052 20150331 50359,1156.00,REDACTED PERSONAL DATA,564456,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-04-02,3808979,103638 20150331 50359,350,REDACTED PERSONAL DATA,333706,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3808980,150723 20150331 50359,320.9,REDACTED PERSONAL DATA,507002,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3808982,151365 20150331 50359,1076.00,REDACTED PERSONAL DATA,442473,,ADOPTION & FOSTERING
ADOPTION SERVICE,9270,ADOPTION ALLOWANCES,2015-04-02,3808984,152049 20150331 50359,381.08,REDACTED PERSONAL DATA,512161,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3808985,156226 20150331 50359,638,REDACTED PERSONAL DATA,549255,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3808987,156682 20150331 50359,320.9,REDACTED PERSONAL DATA,447568,,ADOPTION & FOSTERING
RESIDENCE ORDERS,9270,RESIDENCE ORDERS,2015-04-02,3808988,156956 20150331 50359,254.2,REDACTED PERSONAL DATA,428195,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3808991,158474 20150331 50359,657.86,REDACTED PERSONAL DATA,590387,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-04-02,3808992,158522 20150331 50359,367.8,REDACTED PERSONAL DATA,599019,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3808994,158578 20150331 50359,381.7,REDACTED PERSONAL DATA,435732,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3808999,161306 20150331 50359,297.56,REDACTED PERSONAL DATA,563893,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3809000,16180 20150331 50359,1028.00,REDACTED PERSONAL DATA,333718,,ADOPTION & FOSTERING
SPECIAL GUARDIANSHIP,9270,RESIDENCE ORDERS,2015-04-02,3809002,161862 20150331 50359,274.22,REDACTED PERSONAL DATA,569794,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3809006,162287 20150331 50359,320.9,REDACTED PERSONAL DATA,437597,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3809008,162684 20150331 50359,522.3,REDACTED PERSONAL DATA,384639,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3809011,162849 20150331 50359,1012.10,REDACTED PERSONAL DATA,383481,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3809014,162992 20150331 50359,254.2,REDACTED PERSONAL DATA,399206,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3809016,163018 20150331 50359,381.7,REDACTED PERSONAL DATA,397573,,ADOPTION & FOSTERING
ADOPTION ALLOWANCES,9270,ADOPTION ALLOWANCES,2015-04-02,3809017,163138 20150331 50359,301.4,REDACTED PERSONAL DATA,400697,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3809018,163509 20150331 50359,308,REDACTED PERSONAL DATA,584489,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CARELEAVER IN HOUSE FOSTERING,9270,IN-HOUSE FOSTERING,2015-04-02,3809023,105022 20150331 50359,325,REDACTED PERSONAL DATA,526566,,CHILDCARE SERVICES
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3809025,167097 20150331 50359,1052.00,REDACTED PERSONAL DATA,424791,,ADOPTION & FOSTERING
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2015-04-02,3809026,168513 20150331 50359,438,REDACTED PERSONAL DATA,546743,,ADOPTION & FOSTERING
