Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-04-04,3008473,5797,615.00,A & W HELLIWELL & SONS LTD,202556,Unclassified Trade,FARMING - LIVESTOCK & OTHER AN
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-04-04,3008474,5798,635.00,A & W HELLIWELL & SONS LTD,202556,Unclassified Trade,FARMING - LIVESTOCK & OTHER AN
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-04-04,3008475,5799,665.00,A & W HELLIWELL & SONS LTD,202556,Unclassified Trade,FARMING - LIVESTOCK & OTHER AN
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-04-04,3008477,5800,665.00,A & W HELLIWELL & SONS LTD,202556,Unclassified Trade,FARMING - LIVESTOCK & OTHER AN
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-04-04,3008480,76759,569.61,PROTEUS  EQUIPMENT LTD,467322,Vehicles Not Buses,ROAD CONSTRUCTION EQUIPMENT MN
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-04-04,3008471,5795,645.00,A & W HELLIWELL & SONS LTD,202556,Unclassified Trade,FARMING - LIVESTOCK & OTHER AN
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-04-04,3008433,1098304490,1141.68,KONICA MINOLTA BUSINESS SOLUTIONS EAST,206267,ICT,OFFICE EQUIPMENT MNFRS & DISTR
TRANSPORT FLEET MANAGEMENT,7060,EXTERNAL VEHICLE HIRE,2011-04-04,2964201,RAIN115554,15131.64,LEX AUTOLEASE LTD,348779,Vehicles Not Buses,CAR & TRUCK LEASING & CONTRACT
INTAKE PRIMARY KITCHEN,1183,PURCHASE OF EQUIPMENT,2011-04-04,2978209,OP/I505633,2753.00,HOBART UK,208961,Catering,CATERING EQUIPMENT
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,2979850,17338,1580.00,P & N CORPORATE MEDIA LTD,308965,Facilities Management,DESIGNERS - GRAPHIC
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,2979860,17335,755.00,P & N CORPORATE MEDIA LTD,308965,Facilities Management,DESIGNERS - GRAPHIC
INVESTMENT IN COMMUNITIES2,9120,OTHER AGENCIES,2011-04-04,2993723,254516390,1466.10,YORKSHIRE PURCHASING ORGANISATION,295997,Unclassified Trade,PURCHASING SERVICES
PARK HILL (STH),1158,DWELLINGS SUB CONTRACTORS,2011-04-04,2996505,38657,21273.98,SOUTH YORKSHIRE POLICE,346012,Unclassified Non Trade,POLICE
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,2996542,INV144465,500.00,A PINDER LTD,202627,Facilities Management,COPYING & DUPLICATING SERVICES
LEARN SAFE DRIVE SAFE,1193,CONSULTANTS FEES,2011-04-04,2997312,290,1440.00,EDRIVING SOLUTIONS LTD,540671,Education,DRIVING SCHOOLS
PARK HILL (STH),1158,DWELLINGS SUB CONTRACTORS,2011-04-04,2997359,38731,15323.61,SOUTH YORKSHIRE POLICE,346012,Unclassified Non Trade,POLICE
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,2997957,77276,647.00,WHITTINGTON MOOR PRINTING WORKS LTD,461594,Facilities Management,PRINTERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,2997964,57212,1412.00,WHITESPRINT GROUP LIMITED,202894,Facilities Management,PRINTERS
SHORT BREAKS FUNDING FOR DISAB,9120,OTHER AGENCIES,2011-04-04,2998128,SCC010,10000.00,SHEFFIELD PARENT CARER FORUM,540788,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
GRAVES TENNIS & LEISURE CENTRE,8380,PHOTOCOPYING,2011-04-04,2998151,1098377466,538.08,KONICA MINOLTA BUSINESS SOLUTIONS,375732,ICT,PHOTOCOPIERS
NE SHEFF COMMUNITY PROJECTS,8440,FEE EXPENSES,2011-04-04,2998206,470,3000.00,NORTH SHEFFIELD CONSERVATION GROUP,310661,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
FIELDWORK STRATEGY CENTRAL,8440,FEE EXPENSES,2011-04-04,2998327,38766,32700.00,SOUTH YORKSHIRE POLICE,346385,Unclassified Non Trade,POLICE
LICENSING,5750,TRAINING EXPENDITURE,2011-04-04,2998851,50374,699.00,INSTITUTE OF LICENSING (EVENTS) LIMITED,461885,Human Resources,INSTITUTES - PROFESSIONAL
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,2999200,58826,509.00,PRINT AND DESIGN FACTORY LTD.,207663,Facilities Management,PRINTERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,2999211,58825,829.00,PRINT AND DESIGN FACTORY LTD.,207663,Facilities Management,PRINTERS
TRANSPORT POLICY,5610,AGENCY STAFF,2011-04-04,2999231,1280554,1049.22,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
TRANSPORT POLICY,5610,AGENCY STAFF,2011-04-04,2999244,1277430,1315.44,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
TRANSPORT POLICY,5610,AGENCY STAFF,2011-04-04,2999251,1270086,1221.48,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
TRANSPORT POLICY,5610,AGENCY STAFF,2011-04-04,2999261,1284107,829.98,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
TRANSPORT POLICY,5610,AGENCY STAFF,2011-04-04,2999267,1287920,548.10,MATCHTECH GROUP PLC,387061,Human Resources,EMPLOYMENT & RECRUITMENT AGENC
YOUTH SERVICES,9120,OTHER AGENCIES,2011-04-04,2999567,10,25000.00,LOWEDGES COMMUNITY AND SAFETY FORUM,325237,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2011-04-04,3008472,5796,645.00,A & W HELLIWELL & SONS LTD,202556,Unclassified Trade,FARMING - LIVESTOCK & OTHER AN
COUNT ME IN,8440,FEE EXPENSES,2011-04-04,3000820,3400000000000,1230.89,DECATHLON UK LTD,365405,Sports & Playground,SPORTS GOODS SHOPS
URBAN DESIGN & CONSERVATION,8440,FEE EXPENSES,2011-04-04,3000958,GLA28208,769.95,GILLESPIES LLP,509084,Consultancy,ENVIRONMENTAL CONSULTANTS
SERVICE MANAGEMENT,8440,FEE EXPENSES,2011-04-04,3001096,38561/38660,8116.85,SOUTH YORKSHIRE POLICE,301616,Unclassified Non Trade,POLICE
GRAVES TENNIS & LEISURE CENTRE,8420,ADVERTISING AND PUBLICITY,2011-04-04,3001485,50775,646.00,PRINT ENGINE UK LIMITED,399692,Facilities Management,PRINTERS
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,3001610,32454,1057.54,GARNETT DICKINSON PUBLISHING LTD,205074,Education,NEWSPAPER & MAGAZINE PUBLISHER
CREATIVE SERVICES,9120,OTHER AGENCIES,2011-04-04,3001634,58824,514.00,PRINT AND DESIGN FACTORY LTD.,207663,Facilities Management,PRINTERS
CITY STEWARDSHIP - GENERAL,6030,REPAIRS TO TENANTED PROPERTIES,2011-04-04,3001666,10090225,136039.06,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
CITY STEWARDSHIP - GENERAL,6030,REPAIRS TO TENANTED PROPERTIES,2011-04-04,3001668,10090224,136060.79,KIER SHEFFIELD LLP,352687,Construction,PROPERTY MAINTENANCE & REPAIRS
