Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901477113,2017-06-09,26876318.57,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900039055,2017-06-09,14629909.81,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900039043,2017-06-09,14333027.29,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109095476,2017-06-21,14033011.01,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900039051,2017-06-09,11991548.57,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109087271,2017-06-21,11935997.54,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900039053,2017-06-09,9239859.41,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900039048,2017-06-09,9193609.18,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109087179,2017-06-21,8934842.99,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900039050,2017-06-09,8303662.89,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109079150,2017-06-21,7897468.97,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109079153,2017-06-21,7641330.99,
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109074360,2017-05-31,7391517.88,
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109095650,2017-06-21,7254098.35,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109091802,2017-06-19,6761676.61,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900039041,2017-06-09,6511887.12,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900039044,2017-06-09,6368647.60,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900039059,2017-06-09,6175545.01,
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Civil Engineering Construction Works,1031\5109095118,2017-06-19,6137300.08,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900039057,2017-06-09,5734531.26,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900039056,2017-06-09,5685952.90,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109086471,2017-06-21,5096952.62,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900039154,2017-06-23,4893840.88,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900039142,2017-06-23,4716159.93,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900039150,2017-06-23,3903879.59,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,Rates - Central Listed,1005\1900197196,2017-06-16,3832000.00,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900039054,2017-06-09,3824675.90,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109087187,2017-06-23,3748626.98,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109087536,2017-06-14,3684665.00,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109078001,2017-05-31,3630769.00,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109078003,2017-05-31,3630769.00,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901477114,2017-06-09,3388483.75,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HACKNEY,Borough Services - Claim Against Pr Yr Accrual,1002\1900052501,2017-06-07,3078784.70,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900039147,2017-06-23,3011068.28,
TRANSPORT TRADING LTD,SAVILLS COMMERCIAL LTD,Commercial Property Rent,1004\1901488454,2017-06-21,3000546.27,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900039152,2017-06-23,2996437.64,
