Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020\5109789807,2020-07-22,15878083.04,
RAIL FOR LONDON LIMITED,MTR Corporation (Crossrail) Ltd,Franchise/Concession Fixed Fee,1020\5109789153,2020-07-22,15624934.33,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006\1900044462,2020-07-10,14733153.47,
LONDON BUS SERVICES LTD,Arriva London North Ltd,Bus Contract Payments,1006\1900044451,2020-07-10,14356647.40,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006\1900044458,2020-07-10,11720997.51,
LONDON BUS SERVICES LTD,London Central Bus Company Ltd,Bus Contract Payments,1006\1900044457,2020-07-10,10592410.90,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006\1900044460,2020-07-10,9463133.93,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006\1900044455,2020-07-10,8986242.54,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004\1901673235,2020-07-10,8594899.05,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109768370,2020-07-13,8217810.00,
SURFACE TRANSPORT CORP,Metropolitan Police Authority,MPS Employment Costs SM,1002\5109770004,2020-06-29,7859525.83,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Civil Engineering Construction Works,1012\5109787860,2020-07-20,7015928.31,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006\1900044449,2020-07-10,6622041.65,
LONDON BUS SERVICES LTD,Arriva London South Limited,Bus Contract Payments,1006\1900044452,2020-07-10,6449169.12,
LONDON UNDERGROUND LTD,Ferrovial Laing O Rourke JV,Civil Engineering Construction Works,1005\5109782842,2020-07-22,5929042.26,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109779043,2020-07-08,5800839.92,
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,Bus Contract Payments,1006\1900044465,2020-07-10,5771486.99,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006\1900044544,2020-07-24,4871333.06,
LONDON BUS SERVICES LTD,Arriva London North Ltd,Bus Contract Payments,1006\1900044533,2020-07-24,4744962.64,
RAIL FOR LONDON LIMITED,Morgan Sindall VolkerFitzpatrick JV,Civil Engineering Construction Works,1020\5109788198,2020-07-22,4518546.77,
LONDON BUS SERVICES LTD,Metroline West Limited,Bus Contract Payments,1006\1900044463,2020-07-10,4494322.70,
LONDON BUS SERVICES LTD,Tower Transit Operations Ltd,Bus Contract Payments,1006\1900044467,2020-07-10,4385364.46,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006\1900044461,2020-07-10,4007846.71,
LONDON BUS SERVICES LTD,ABELLIO LONDON LIMITED,Bus Contract Payments,1006\1900044450,2020-07-10,3916214.90,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006\1900044427,2020-07-10,3862567.67,
LONDON UNDERGROUND LTD,Dept of Communities and Local Gover,Rates - Central Listed,1005\1900214281,2020-07-15,3840000.00,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109779204,2020-07-22,3834978.14,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006\1900044540,2020-07-24,3797611.91,
