Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901538817,2017-08-04,29113699.99,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109131973,2017-08-16,15984236.25,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900039357,2017-08-04,15218265.35,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900039345,2017-08-04,14176463.23,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900039353,2017-08-04,12047343.11,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900039355,2017-08-04,9263400.01,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900039350,2017-08-04,9193680.96,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109126545,2017-08-16,9044733.75,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900052716,2017-07-31,8950691.06,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900039352,2017-08-04,8442037.79,
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109131819,2017-08-18,8049731.41,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109127381,2017-08-07,7606338.27,
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109120672,2017-08-02,7542635.89,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109130209,2017-08-14,6704198.86,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900039343,2017-08-04,6479575.84,
TUBELINES LTD,AMEY LUL 2 LIMITED,Maintenance & Operations,768439,2017-08-15,6410876.01,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900039346,2017-08-04,6344677.71,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900039359,2017-08-04,5980290.30,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900039361,2017-08-04,5797045.62,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900039358,2017-08-04,5692882.04,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF GREENWICH,Borough Services - Claim Against Pr Yr Accrual,1002\1900052818,2017-08-14,5123962.00,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109118209,2017-08-02,5073526.61,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900039423,2017-08-18,4881915.58,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109118210,2017-07-31,4773996.34,
LUL NOMINEE SSL LIMITED,BALFOUR BEATTY RAIL LTD,Civil Engineering Construction Works,1031\5109134427,2017-08-16,4767462.60,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900039411,2017-08-18,4681682.46,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF CROYDON,Borough Services - Claim Against Pr Yr Accrual,1002\1900053083,2017-08-14,4629032.93,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109122290,2017-07-31,4557446.91,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901538819,2017-08-04,4321919.47,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109125506,2017-08-07,4013309.00,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV LTD,Bus Contract Payments,1006\1900039419,2017-08-18,3930734.51,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF EALING,Borough Services - Claim Against Pr Yr Accrual,1002\1900052945,2017-08-14,3840046.77,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOV,Rates - Central Listed,1005\1900197196,2017-08-17,3832000.00,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900039356,2017-08-04,3787440.44,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109111590,2017-07-24,3630769.00,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109113184,2017-08-09,3630769.00,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109126457,2017-08-16,3224031.00,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109122292,2017-07-31,3090380.56,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900039416,2017-08-18,3002041.05,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900039421,2017-08-18,3002010.16,
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,765084,2017-08-01,2834231.54,
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,Maintenance,765078,2017-08-01,2834080.33,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HARINGEY,Borough Services - Claim Against Pr Yr Accrual,1002\1900052897,2017-08-07,2800152.00,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900039418,2017-08-18,2739723.94,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF GREENWICH,Borough Services - Claim Against Pr Yr Accrual,1002\1900052838,2017-07-31,2691821.00,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900039344,2017-08-04,2543815.22,
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109129970,2017-08-09,2262835.54,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900039412,2017-08-18,2082562.97,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900039409,2017-08-18,2076612.05,
LONDON UNDERGROUND LTD,TAYLOR WOODROW CONS BAM NUTTAL LTD,Civil Engineering Construction Works,1005\5109108484,2017-08-02,2036983.43,
LONDON BUS SERVICES LTD,WRIGHTBUS LTD,Vehicle Repairs & Maintenance,1006\5109103132,2017-07-31,1992691.20,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900039427,2017-08-18,1975325.79,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900039425,2017-08-18,1929844.87,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900039424,2017-08-18,1864012.96,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900039347,2017-08-04,1825018.50,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF GREENWICH,Borough Services - Claim Against Pr Yr Accrual,1002\1900052729,2017-07-31,1786408.00,
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Fleet,1031\5109120114,2017-07-26,1781215.35,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900039354,2017-08-04,1710303.09,
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900039348,2017-08-04,1703579.83,
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF KINGSTON UPON THAMES,Borough Services - Claim Against Pr Yr Accrual,1002\1900053009,2017-08-14,1690062.82,
LUL NOMINEE BCV LIMITED,INTERSERVE FS (UK) LTD,Building Maintenance & Repairs,1033\5109122378,2017-08-14,1654196.89,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HILLINGDON,Borough Services - Claim Against Pr Yr Accrual,1002\1900053042,2017-08-14,1590923.79,
SURFACE TRANSPORT CORP,CVU JOINT VENTURE,Road Maintenance,1002\5109116145,2017-08-02,1514357.56,
LUL NOMINEE SSL LIMITED,INTERSERVE FS (UK) LTD,Building Maintenance & Repairs,1031\5109122376,2017-08-14,1469673.09,
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF KINGSTON UPON THAMES,Borough Services - Claim Against Pr Yr Accrual,1002\1900052758,2017-08-07,1443238.79,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BRENT,Borough Services - Claim Against Pr Yr Accrual,1002\1900052960,2017-08-14,1423672.43,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,Commercial Property Rent,1005\5109116844,2017-08-14,1347776.20,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BROMLEY,Borough Services - Claim Against Pr Yr Accrual,1002\1900052837,2017-08-14,1311577.33,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900039422,2017-08-18,1232434.35,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109108236,2017-07-26,1200610.00,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF CROYDON,Borough Services - Claim Against Pr Yr Accrual,1002\1900053049,2017-08-14,1197895.63,
SURFACE TRANSPORT CORP,CORPORATION OF LONDON,Borough Services - Claim Against Pr Yr Accrual,1002\1900052979,2017-08-14,1177028.64,
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LTD,Franchise/Concession Fixed Fee,1020\5109110585,2017-07-26,1176899.05,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF BARNET,Borough Services - Claim Against Pr Yr Accrual,1002\1900052963,2017-08-14,1156564.01,
LUL NOMINEE SSL LIMITED,BOMBARDIER TRANSPORT UK,Civil Engineering Construction Works,1031\5109130760,2017-08-10,1145113.93,
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LTD,Bus Contract Payments,1006\1900039349,2017-08-04,1117015.74,
TFL CORPORATE,COMPUTACENTER,Software Maintenance,1001\5109102492,2017-07-24,1087575.40,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF REDBRIDGE,Borough Services - Claim Against Pr Yr Accrual,1002\1900052769,2017-07-31,1058787.73,
SURFACE TRANSPORT CORP,CONWAY AECOM LTD,Road Maintenance,1002\5109115413,2017-08-02,1032368.11,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HILLINGDON,Borough Services - Claim Against Pr Yr Accrual,1002\1900052753,2017-07-24,1022056.29,
TUBELINES LTD,ALSTOM NL SERVICE PROVISION LTD,Rolling Stock,765083,2017-07-28,959052.92,
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900039351,2017-08-04,954696.76,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF RICHMOND UPON THAMES,Borough Services - Claim Against Pr Yr Accrual,1002\1900052755,2017-07-24,942949.44,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HACKNEY,Borough Services - Claim Against Pr Yr Accrual,1002\1900052991,2017-08-14,920625.93,
