Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901665683,2019-04-12,46608967.67,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109523248,2019-04-24,16438303.16,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900042303,2019-04-12,16069615.32,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE JV,Civil Engineering Construction Works,1005\5109514252,2019-04-24,15350912.63,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900042292,2019-04-12,14228044.07,
LUL NOMINEE SSL LIMITED,THALES RAIL SIGNALLING SOLUTIONS,Civil Engineering Construction Works,1031\5109517844,2019-04-24,13536296.15,
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109522766,2019-04-24,12621173.30,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900042299,2019-04-12,10283232.26,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900042298,2019-04-12,9972718.37,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900042301,2019-04-12,9819691.00,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900042297,2019-04-12,7646423.87,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109520054,2019-04-17,6938433.81,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LIMITED,Bus Contract Payments,1006\1900042293,2019-04-12,6558331.69,
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF KINGSTON UPON THAMES,Borough Services - Claim Against Pr Yr Accrual,1002\1900058474,2019-04-03,6512195.62,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900042290,2019-04-12,6187094.64,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900042306,2019-04-12,5951169.24,
TFL CORPORATE,NETWORK RAIL,National Rail Contribution,1001\5109513681,2019-04-24,5908775.45,
TFL CORPORATE,NETWORK RAIL,National Rail Contribution,1001\5109513683,2019-04-24,5908775.45,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109513122,2019-04-10,5888381.84,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900042308,2019-04-12,5444941.55,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LIMITED,Bus Contract Payments,1006\1900042350,2019-04-26,5156094.33,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109515858,2019-04-24,5094161.99,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901665685,2019-04-12,5061241.17,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900042339,2019-04-26,4665270.56,
LONDON BUS SERVICES LTD,METROLINE WEST LIMITED,Bus Contract Payments,1006\1900042304,2019-04-12,4549355.60,
LONDON UNDERGROUND LTD,CITYLINK TELECOMMUNICATIONS LTD,PFI Service Costs - Power,1005\5109522909,2019-04-24,4247677.35,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109517851,2019-04-26,4063538.32,
LONDON UNDERGROUND LTD,CAPITA BUSINESS SERVICES LTD,Maintenance of Telecommunications Equipment,1005\5109509326,2019-04-17,4053245.18,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109518221,2019-04-15,4011600.00,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,Rates - Central Listed,1005\1900208515,2019-04-17,3780000.00,
RAIL FOR LONDON LIMITED,MORGAN SINDALL VOLKERFITZPATRICK JV,Civil Engineering Construction Works,1020\5109513168,2019-04-24,3656416.95,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109505354,2019-04-17,3648054.00,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900042302,2019-04-12,3426944.32,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERV,Bus Contract Payments,1006\1900042346,2019-04-26,3388642.05,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900042345,2019-04-26,3265504.98,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5109505949,2019-04-24,3222376.17,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900042348,2019-04-26,3215622.93,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ENFIELD,Borough Services - Claim Against Pr Yr Accrual,1002\1900058591,2019-04-24,3114340.25,
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5109513215,2019-04-10,3035668.20,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900042291,2019-04-12,3009072.47,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900042294,2019-04-12,2791183.89,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900042344,2019-04-26,2651651.25,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900042300,2019-04-12,2555567.23,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF NEWHAM,Borough Services - Claim Against Pr Yr Accrual,1002\1900058495,2019-04-24,2554739.31,
