Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,Crossrail Ltd,Management & Support Consultancy,1004\5109789182,2020-08-12,161291.59,10008729
RAIL FOR LONDON LIMITED,Crossrail Ltd,Management & Support Consultancy,1020\5109792696,2020-08-19,11502.00,10008729
RAIL FOR LONDON LIMITED,Crossrail Ltd,Management & Support Consultancy,1020\5109792695,2020-08-19,8521.00,10008729
TFL CORPORATE,Crossrail Ltd,Seconded Staff - Non Group,1001\5109792734,2020-08-19,6377.25,10008729
TFL CORPORATE,Crossrail Ltd,Contractors,1001\5109792733,2020-08-19,5668.03,10008729
DIAL A RIDE,David Cairns,Tribunal Awards & Other Settlements,1010\1900011853,2020-08-18,6410.04,15050076
RAIL FOR LONDON LIMITED,MTR Corporation (Crossrail) Ltd,Franchise/Concession Fixed Fee,1020\5109801958,2020-08-19,16117752.19,
RAIL FOR LONDON LIMITED,Arriva Rail London,Franchise/Concession Fixed Fee,1020\5109802373,2020-08-19,15468558.72,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006\1900044569,2020-08-07,14725643.54,
TRANSPORT TRADING LTD,Rail Settlement Plan,Rail Settlement Plan - PAYG Creditor,1004\1901673501,2020-08-05,14706128.01,
LONDON BUS SERVICES LTD,Arriva London North Ltd,Bus Contract Payments,1006\1900044558,2020-08-07,14284991.51,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006\1900044565,2020-08-07,11788396.53,
LONDON BUS SERVICES LTD,London Central Bus Company Ltd,Bus Contract Payments,1006\1900044564,2020-08-07,10467624.41,
LONDON UNDERGROUND LTD,Ferrovial Laing O Rourke JV,Civil Engineering Construction Works,1005\5109796249,2020-08-19,9878056.29,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006\1900044567,2020-08-07,9439978.00,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006\1900044562,2020-08-07,8979354.30,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006\1900044556,2020-08-07,6622381.33,
LONDON BUS SERVICES LTD,Arriva London South Limited,Bus Contract Payments,1006\1900044559,2020-08-07,6478610.28,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109792883,2020-08-05,5921509.09,
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,Bus Contract Payments,1006\1900044572,2020-08-07,5784498.70,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSP SYSTEMS UK LTD,Civil Engineering Construction Works,1031\5109799125,2020-08-17,5136392.15,
LONDON BUS SERVICES LTD,Metroline Travel Limited,Bus Contract Payments,1006\1900044661,2020-08-21,4857990.90,
LONDON BUS SERVICES LTD,Arriva London North Ltd,Bus Contract Payments,1006\1900044650,2020-08-21,4681609.51,
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001\5109792679,2020-08-17,4592079.65,
LONDON BUS SERVICES LTD,Metroline West Limited,Bus Contract Payments,1006\1900044570,2020-08-07,4510498.65,
LONDON BUS SERVICES LTD,Tower Transit Operations Ltd,Bus Contract Payments,1006\1900044574,2020-08-07,4251144.81,
LONDON BUS SERVICES LTD,Metrobus Limited,Bus Contract Payments,1006\1900044568,2020-08-07,3996020.44,
LONDON BUS SERVICES LTD,ABELLIO LONDON LIMITED,Bus Contract Payments,1006\1900044557,2020-08-07,3928657.41,
LONDON UNDERGROUND LTD,Dept of Communities and Local Gover,Rates - Central Listed,1005\1900214281,2020-08-17,3840000.00,
LONDON BUS SERVICES LTD,London General Transport Serv,Bus Contract Payments,1006\1900044657,2020-08-21,3838305.73,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109792906,2020-08-19,3834978.14,
DOCKLANDS LIGHT RAILWAY,Docklands Light Railway Pension Sch,Exchange Loss Realised,1012\1900005064,2020-07-29,3465000.00,
LONDON BUS SERVICES LTD,London Central Bus Company Ltd,Bus Contract Payments,1006\1900044656,2020-08-21,3457263.35,
LONDON UNDERGROUND LTD,ALSTOM NL SERV PROV (USE 10002477),Fleet Tsssa Contract,1005\5109803465,2020-08-19,3381549.87,
TFL CORPORATE,Computacenter Plc,Software Maintenance,1001\5109794376,2020-08-19,3292213.37,
LONDON BUS SERVICES LTD,London United Busways Limited,Bus Contract Payments,1006\1900044659,2020-08-21,3104152.36,
LONDON BUS SERVICES LTD,East London Bus & Coach Company Ltd,Bus Contract Payments,1006\1900044654,2020-08-21,2947482.33,
LONDON BUS SERVICES LTD,Blue Triangle Buses Ltd,Bus Contract Payments,1006\1900044560,2020-08-07,2928448.67,
LONDON UNDERGROUND LTD,GBM Services Limited,Operational Cleaning,1005\5109800803,2020-08-19,2656474.97,
LONDON BUS SERVICES LTD,London Sovereign LTD,Bus Contract Payments,1006\1900044566,2020-08-07,2636315.36,
LONDON UNDERGROUND LTD,THALES TRANSPORT & SECURITY LIMITED,Computer Hardware,1005\5109791956,2020-08-17,2536882.79,
SURFACE TRANSPORT CORP,Ealing Council,Borough Services,1002\1900064667,2020-07-31,2473432.00,
LONDON UNDERGROUND LTD,ALSTOM NL SERV PROV (USE 10002477),Fleet Tsssa Contract,1005\5109803467,2020-08-19,2336417.45,
LONDON BUS SERVICES LTD,Abellio London Ltd,Bus Contract Payments,1006\1900044648,2020-08-21,2158114.85,
LONDON BUS SERVICES LTD,Arriva London South Limited,Bus Contract Payments,1006\1900044651,2020-08-21,2136038.28,
SURFACE TRANSPORT CORP,London Borough of Tower Hamlets - B,Borough Services - Claim Against Pr Yr Accrual,1002\1900065318,2020-07-27,2103182.80,
LONDON BUS SERVICES LTD,CT Plus Limited,Bus Contract Payments,1006\1900044563,2020-08-07,1931777.14,
LONDON BUS SERVICES LTD,STAGECOACH SERVICESLTD,Bus Contract Payments,1006\1900044664,2020-08-21,1906681.81,
