Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Rates - Central Listed,1012\1700000532,2020-06-10,16515280.42,
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Vehicle Purchases,1012\5109770952,2020-06-10,16515280.42,
RAIL FOR LONDON LIMITED,MTR CORPORATION (CROSSRAIL) LTD,Franchise/Concession Fixed Fee,1020\5109776479,2020-06-24,16109640.41,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109777187,2020-06-24,15922510.84,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900044352,2020-06-12,14782193.68,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900044341,2020-06-12,14435284.64,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900044348,2020-06-12,11651682.61,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900044347,2020-06-12,10470240.25,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900044350,2020-06-12,9596977.96,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900044345,2020-06-12,8658169.76,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109767069,2020-06-08,7658449.31,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Civil Engineering Construction Works,1012\5109776546,2020-06-22,7153750.04,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,UNIVERSAL TYRE CO DEPTFORD LTD,1006\1900044339,2020-06-12,6596345.00,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900044342,2020-06-12,6434493.56,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - JFT Debtor,1004\1901673031,2020-06-12,6168959.83,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109770037,2020-06-17,5829250.41,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900044355,2020-06-12,5734466.88,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900044431,2020-06-26,4883768.66,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900044420,2020-06-26,4825104.43,
TFL CORPORATE,NETWORK RAIL,National Rail Fixed Track Access Charges,1001\5109758986,2020-06-03,4592079.65,
TFL CORPORATE,NETWORK RAIL,National Rail Fixed Track Access Charges,1001\5109768379,2020-06-24,4592079.65,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900044357,2020-06-12,4531334.72,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900044353,2020-06-12,4522658.67,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE,Civil Engineering Construction Works,1005\5109770755,2020-06-24,4193050.95,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5109777214,2020-06-24,4076575.73,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900044351,2020-06-12,3990375.82,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901673030,2020-06-12,3851581.28,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,Rates - Central Listed,1005\1900214281,2020-06-17,3840000.00,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900044340,2020-06-12,3820375.39,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900044426,2020-06-26,3485547.47,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Operating Leases,1020\5109778154,2020-06-24,3350000.00,
