Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2016-12-01,925.00,Holding A/C,COUNCIL TAX REFUND,,
2016-12-01,695.82,General Fund,DEBTORS VENDOR (ANITE),,
2016-12-01,298.00,General Fund,DEBTORS VENDOR (ANITE),,
2016-12-01,263.20,General Fund,DEBTORS VENDOR (ANITE),,
2016-12-01,1150.00,Adult Social Care,NORTH TYNESIDE COUNCIL,,
2016-12-01,834.00,Adult Social Care,NORTH TYNESIDE COUNCIL,,
2016-12-01,350.00,Adult Social Care,NORTH TYNESIDE COUNCIL,,
2016-12-01,295.00,Central Services,CIPFA,,
2016-12-01,1708.68,Housing Services,HOUSING BENEFIT,,
2016-12-01,310.68,Housing Services,HOUSING BENEFIT,,
2016-12-01,1841.12,Housing Services,HOUSING BENEFIT,,
2016-12-01,321.40,Housing Services,HOUSING BENEFIT,,
2016-12-01,374.29,Housing Services,HOUSING BENEFIT,,
2016-12-01,456.92,Housing Services,HOUSING BENEFIT,,
2016-12-01,363.60,Housing Services,HOUSING BENEFIT,,
2016-12-01,350.72,Housing Services,HOUSING BENEFIT,,
2016-12-01,842.51,Housing Services,HOUSING BENEFIT,,
2016-12-01,540.00,Housing Services,HOUSING BENEFIT,,
2016-12-01,2249.14,Housing Services,HOUSING BENEFIT,,
2016-12-01,632.01,Housing Services,HOUSING BENEFIT,,
2016-12-01,1599.41,Housing Services,HOUSING BENEFIT,,
2016-12-01,250.41,Housing Services,HOUSING BENEFIT,,
2016-12-01,402.56,Housing Services,HOUSING BENEFIT,,
2016-12-01,756.16,Housing Services,HOUSING BENEFIT,,
2016-12-01,457.30,Housing Services,HOUSING BENEFIT,,
2016-12-01,433.20,Housing Services,HOUSING BENEFIT,,
2016-12-01,355.04,Housing Services,HOUSING BENEFIT,,
2016-12-01,376.20,Housing Services,HOUSING BENEFIT,,
2016-12-01,291.60,Housing Services,HOUSING BENEFIT,,
2016-12-01,453.70,Housing Services,HOUSING BENEFIT,,
2016-12-01,387.93,Housing Services,HOUSING BENEFIT,,
2016-12-01,363.60,Housing Services,HOUSING BENEFIT,,
2016-12-01,542.40,Housing Services,HOUSING BENEFIT,,
2016-12-01,454.50,Housing Services,HOUSING BENEFIT,,
2016-12-01,291.27,Housing Services,HOUSING BENEFIT,,
2016-12-01,691.34,Housing Services,HOUSING BENEFIT,,
2016-12-01,69.60,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,49.56,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,27.67,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,27.67,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,27.67,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,4.47,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,1.44,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,1.44,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,1.32,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,1.24,Children's & Education Services,SUPPLIES TEAM,,
2016-12-01,292.10,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,171.01,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,93.86,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,50.40,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,45.84,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,45.12,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,42.55,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,40.84,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,13.14,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,7.26,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,4.84,Children's & Education Services,HEATON CATERING EQUIPMENT LIMITED,,
2016-12-01,604.40,Cultural & Related Services,GREENLAY (GRASS MACHINERY) LTD,,
2016-12-01,146.33,Cultural & Related Services,GREENLAY (GRASS MACHINERY) LTD,,
2016-12-01,2119.90,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,354.90,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,218.40,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,163.80,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,136.50,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,109.20,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,94.08,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,85.15,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,80.64,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,53.76,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,45.85,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,45.85,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,27.30,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,27.30,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,26.88,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,26.20,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.44,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,13.10,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,6.55,Unallocated,IMPACT WORKWEAR LIMITED,,
2016-12-01,682.20,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,658.80,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,280.70,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,260.00,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,227.40,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,219.60,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,212.00,Adult Social Care,THOMAS OWEN AND SONS LTD,,
2016-12-01,125.36,Environmental & Regulatory Services,THOMAS OWEN AND SONS LTD,,
2016-12-01,125.36,Environmental & Regulatory Services,THOMAS OWEN AND SONS LTD,,
2016-12-01,94.02,Environmental & Regulatory Services,THOMAS OWEN AND SONS LTD,,
2016-12-01,61.80,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,47.01,Environmental & Regulatory Services,THOMAS OWEN AND SONS LTD,,
2016-12-01,32.96,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,32.14,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,31.00,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,26.50,Adult Social Care,THOMAS OWEN AND SONS LTD,,
2016-12-01,24.72,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,13.68,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,13.12,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,9.92,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,9.92,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,9.92,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,3.80,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,3.80,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,2.48,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,2.48,Unallocated,THOMAS OWEN AND SONS LTD,,
2016-12-01,738.31,Unallocated,LONDONDERRY GARAGE LTD,,
2016-12-01,50.00,Unallocated,LONDONDERRY GARAGE LTD,,
2016-12-01,1865.00,Capital,STANNAH LIFT SERVICES LIMITED,,
2016-12-01,1835.00,Capital,STANNAH LIFT SERVICES LIMITED,,
2016-12-01,1780.00,Capital,STANNAH LIFT SERVICES LIMITED,,
2016-12-01,1595.00,Capital,STANNAH LIFT SERVICES LIMITED,,
2016-12-01,750.00,Capital,STANNAH LIFT SERVICES LIMITED,,
2016-12-01,664.32,Capital,STANNAH LIFT SERVICES LIMITED,,
2016-12-01,825.00,Adult Social Care,STANNAH LIFT SERVICES LIMITED,,
2016-12-01,308.00,General Fund,DEBTORS VENDOR (ANITE),,
2016-12-01,1000.00,Housing Services,Redacted Personal Data,,
2016-12-01,1500.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,612.00,Cultural & Related Services,ALICE LAMBERT,,
2016-12-01,4107.00,Central Services,Redacted Personal Data,,
2016-12-01,4107.00,Central Services,Redacted Personal Data,,
2016-12-01,4107.00,Central Services,Redacted Personal Data,,
2016-12-01,4375.00,Public Health,CAMPBELLÂS MINI BUS HIRE,,
2016-12-01,2400.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,2340.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1600.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1560.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1480.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1480.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1400.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1400.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1400.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1400.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1280.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1240.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1200.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1200.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1200.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1200.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1080.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1080.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1040.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1000.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,1000.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,960.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,500.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,450.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,0.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,0.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,0.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,0.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,0.00,Children's & Education Services,Redacted Personal Data,,
2016-12-01,2250.80,Adult Social Care,AIDAPT BATHROOMS LTD,,
2016-12-01,831.57,Adult Social Care,AIDAPT BATHROOMS LTD,,
2016-12-01,295.00,Adult Social Care,BES REHAB LTD,,
2016-12-01,260.00,Adult Social Care,G O'BRIEN & SONS (NDC) LTD,,
2016-12-01,306.68,Adult Social Care,CEFNDY ENTERPRISES HEALTHCARE,,
2016-12-01,294.00,Environmental & Regulatory Services,SYNTEC MANUFACTURING LTD,,
2016-12-01,229.28,Environmental & Regulatory Services,SYNTEC MANUFACTURING LTD,,
2016-12-01,138.00,Environmental & Regulatory Services,SYNTEC MANUFACTURING LTD,,
2016-12-01,23312.50,Highways & Transport Services,KNIGHT FRANK LLP,,
2016-12-01,2836.17,Highways & Transport Services,KNIGHT FRANK LLP,,
2016-12-01,280.00,Public Health,DH HOMECARE LTD,,
2016-12-01,2172.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1920.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1640.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1520.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1440.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1440.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1400.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1400.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1320.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1320.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1264.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1200.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1120.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1040.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,1026.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,960.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,920.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,760.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,490.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,340.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,306.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,272.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,270.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,247.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,0.00,Children's & Education Services,SILVERLINE TAXIS LTD,,
2016-12-01,3000.00,Highways & Transport Services,TRAFFIC ENFORCEMENT CENTRE,,
2016-12-01,2280.49,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,2280.48,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1650.92,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1650.91,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1598.56,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1598.56,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1506.08,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1506.08,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1481.00,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1481.00,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1312.46,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1312.46,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1263.00,Central Services,NHC NHS FOUNDATION TRUST,,
2016-12-01,1263.00,Central Services,NHC NHS FOUNDATION TRUST,,
2016-12-01,1245.80,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1245.80,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1231.70,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1231.70,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1120.88,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1120.88,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1073.66,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,1073.66,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,961.60,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,961.59,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,795.00,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,795.00,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Central Services,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,739.40,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,456.09,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,330.18,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,319.71,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,301.21,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,296.20,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,262.49,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,252.60,Central Services,NHC NHS FOUNDATION TRUST,,
2016-12-01,249.16,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,246.34,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,224.17,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,214.73,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,192.32,Obsolete Code Community,NHC NHS FOUNDATION TRUST,,
2016-12-01,664.50,Housing Services,TOTAL ECOLOGY LIMITED,,
2016-12-01,1720.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,1720.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,1680.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,1600.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,1600.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,1600.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,1600.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,1600.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,1600.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,0.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,0.00,Children's & Education Services,HADRIAN MINI BUSES,,
2016-12-01,225.00,Cultural & Related Services,G O'BRIEN & SONS (NDC) LTD,,
2016-12-01,64.95,Unallocated,DVS COMPONENTS,,
2016-12-01,48.72,Unallocated,DVS COMPONENTS,,
2016-12-01,36.29,Unallocated,DVS COMPONENTS,,
2016-12-01,36.24,Unallocated,DVS COMPONENTS,,
2016-12-01,26.40,Unallocated,DVS COMPONENTS,,
2016-12-01,18.40,Unallocated,DVS COMPONENTS,,
2016-12-01,14.22,Unallocated,DVS COMPONENTS,,
2016-12-01,13.00,Unallocated,DVS COMPONENTS,,
2016-12-01,11.18,Unallocated,DVS COMPONENTS,,
2016-12-01,10.94,Unallocated,DVS COMPONENTS,,
2016-12-01,7.25,Unallocated,DVS COMPONENTS,,
2016-12-01,17000.00,Public Health,NECA TRAINING LTD,,
2016-12-01,39338.97,Capital,KIER NORTH TYNESIDE LIMITED,,
2016-12-01,16086.10,Housing Services,KIER NORTH TYNESIDE LIMITED,,
2016-12-01,10558.06,Housing Services,KIER NORTH TYNESIDE LIMITED,,
2016-12-01,2109.00,Adult Social Care,ST ANTHONY OF PADUA CARE SERVICES,,
2016-12-01,1192.80,Adult Social Care,ST ANTHONY OF PADUA CARE SERVICES,,
2016-12-01,385.00,Adult Social Care,RAINBOW INTERNATIONAL,,
2016-12-01,545.00,Adult Social Care,G&S SMIRTHWAITE LTD,,
2016-12-01,1554.40,Adult Social Care,WELLAND MEDICAL LIMITED,,
2016-12-01,2354.00,Adult Social Care,SEATING MATTERS LIMITED,,
2016-12-01,210.00,Adult Social Care,LIVEASY LIMITED,,
