Organisational Unit,Payment Date,Amount,Beneficiary Name
Adult & Community Services,2015-12-16,5035.00,COTTINGLEY CORNERSTONE CENTRE
Adult & Community Services,2015-12-16,5035.00,COTTINGLEY CORNERSTONE CENTRE
Adult & Community Services,2015-12-16,3021.00,COTTINGLEY CORNERSTONE CENTRE
Adult & Community Services,2015-12-16,1007.00,COTTINGLEY CORNERSTONE CENTRE
Adult & Community Services,2015-12-16,1007.00,COTTINGLEY CORNERSTONE CENTRE
Adult & Community Services,2015-12-18,5190.00,SAVILLS (UK) LTD
Adult & Community Services,2015-12-18,-4250.08,SAVILLS (UK) LTD
Adult & Community Services,2015-12-18,84480.08,THE CARER'S RESOURCE
Adult & Community Services,2015-12-07,3229.17,BRADFORD DISTRICT CARE NHS FOUNDATI
Adult & Community Services,2015-12-18,1378.00,CARE UNIQUE LTD
Adult & Community Services,2015-12-18,1820.00,CARE UNIQUE LTD
Adult & Community Services,2015-12-18,3198.00,CARE UNIQUE LTD
Adult & Community Services,2015-12-18,3062.51,DIGNICARE LIMITED
Adult & Community Services,2015-12-18,1625.00,BRONTE CARE SERVICES
Adult & Community Services,2015-12-18,590.00,IN & OUT CLEANING SERVICES
Adult & Community Services,2015-12-04,966.00,BUPA CARE HOMES (CFH CARE) LTD
Adult & Community Services,2015-12-18,966.00,BUPA CARE HOMES (CFH CARE) LTD
Adult & Community Services,2015-12-29,966.00,BUPA CARE HOMES (CFH CARE) LTD
Adult & Community Services,2015-12-29,3457.20,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-16,1671.30,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-16,1095.90,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-16,1095.90,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-11,1132.43,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-29,3457.20,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-21,5864.40,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-18,1498.12,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-16,5864.40,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-04,576.20,CASTLE RESIDENTIAL PROPERTIES LTD
Adult & Community Services,2015-12-16,859.41,STONHAM
Adult & Community Services,2015-12-16,879.00,Mrs Dawn Jones
Adult & Community Services,2015-12-11,573.64,SENSE
