Organisational Unit,Payment Date,Amount,Beneficiary Name
Landscape,2014-12-22,7000.00,KEIGHLEY TREE SERVICES
Landscape,2014-12-22,800.00,KEIGHLEY TREE SERVICES
Soc Serv Children & Young Peop,2014-12-10,12294.22,BRADFORD CITY CENTRE PROJECT
Soc Serv Children & Young Peop,2014-12-10,7494.22,BRADFORD CITY CENTRE PROJECT
Asset Management,2014-12-12,22700.00,COMBINED PROPERTY CONTROL
Economic Development Service,2014-12-22,1525.00,DISABILITY SUPPORT
Economic Development Service,2014-12-15,3362.50,URBAN SPLASH LTD
"Libraries, Archives & Info",2014-12-22,3052.50,5RISE (BINGLEY) LTD
"Libraries, Archives & Info",2014-12-05,-13217.94,HILL WOOLHOUSE PROPERTY MANAGEMENT
"Libraries, Archives & Info",2014-12-05,44615.79,HILL WOOLHOUSE PROPERTY MANAGEMENT
"Libraries, Archives & Info",2014-12-05,13217.94,HILL WOOLHOUSE PROPERTY MANAGEMENT
"Libraries, Archives & Info",2014-12-05,13217.94,HILL WOOLHOUSE PROPERTY MANAGEMENT
Localities,2014-12-10,8775.00,BRADFORD YMCA
Localities,2014-12-19,3393.75,COTTINGLEY CORNERSTONE CENTRE
Localities,2014-12-17,4000.00,EDDISONS COMMERCIAL PROPERTY MGMT
Localities,2014-12-01,1072.50,ST MARGARETS PARISH CHURCH
Localities,2014-12-19,1306.25,WILSDEN VILLAGE HALL
Neighbourhood Service,2014-12-17,1124.75,LCP SECURITIES LTD
Public Health,2014-12-30,27874.59,ARCRO HOLDINGS LTD
Skills for Work,2014-12-10,22684.00,SMART STYLE HOLDINGS LTD
Soc Serv Adults,2014-12-22,5286.75,COTTINGLEY CORNERSTONE CENTRE
Soc Serv Adults,2014-12-22,5286.75,COTTINGLEY CORNERSTONE CENTRE
Soc Serv Adults,2014-12-22,3021.00,COTTINGLEY CORNERSTONE CENTRE
Soc Serv Adults,2014-12-22,755.25,COTTINGLEY CORNERSTONE CENTRE
Soc Serv Adults,2014-12-22,755.25,COTTINGLEY CORNERSTONE CENTRE
Soc Serv Adults,2014-12-24,1180.50,DISC
Soc Serv Adults,2014-12-24,3867.50,EDDISONS COMMERCIAL PROPERTY MGMT
Soc Serv Adults,2014-12-08,2202.15,INCOMMUNITIES
Soc Serv Adults,2014-12-15,3160.18,INCOMMUNITIES
Soc Serv Adults,2014-12-24,911.84,INCOMMUNITIES
Soc Serv Adults,2014-12-22,2246.80,MANNINGHAM HOUSING ASSOCIATION
Soc Serv Adults,2014-12-05,958.44,YORKSHIRE HOUSING LTD
Soc Serv Adults,2014-12-05,501.16,YORKSHIRE HOUSING LTD
