Organisational Unit,Payment Date,Amount,Beneficiary Name
AHL Policy Res & Dev,2014-07-14,3708.45,ASPECT CPM LLP
AHL Policy Res & Dev,2014-07-07,515.62,NORFOLK CHINA
Asset Management,2014-07-23,16532.00,BLAKEHILL PRIMARY SCHOOL
Asset Management,2014-07-02,2824.67,BRITISH THORNTON ESF LTD
Asset Management,2014-07-23,11447.50,BYRON PRIMARY SCHOOL
Asset Management,2014-07-25,597.00,COMPLETE OFFICE SOLUTIONS LTD
Asset Management,2014-07-04,544.00,COMPLETE OFFICE SOLUTIONS LTD
Asset Management,2014-07-04,1200.00,COMPLETE OFFICE SOLUTIONS LTD
Asset Management,2014-07-09,2275.00,ELLAR CARR PRU
Asset Management,2014-07-25,8888.12,FRIZINGHALL PRIMARY SCHOOL
Asset Management,2014-07-07,943.40,G E CAPITAL EQUIPMENT FINANCE LTD
Asset Management,2014-07-09,12708.13,GLENAIRE PRIMARY SCHOOL
Asset Management,2014-07-21,519.60,GRICE BROS & CO LTD
Asset Management,2014-07-16,9028.75,GROVE HOUSE PRIMARY SCHOOL
Asset Management,2014-07-09,64637.00,HOLYCROFT PRIMARY SCHOOL
Asset Management,2014-07-16,6452.50,HOYLE COURT PRIMARY SCHOOL
Asset Management,2014-07-25,12781.84,INGROW PRIMARY SCHOOL
Asset Management,2014-07-25,42072.71,KNOWLESWOOD PRIMARY SCHOOL
Asset Management,2014-07-25,36889.75,LONG LEE PRIMARY SCHOOL
Asset Management,2014-07-25,45000.00,MIRIAM LORD COMMUNITY PRIMARY SCHOO
Asset Management,2014-07-23,542.34,REDACTED PERSONAL DATA
Asset Management,2014-07-25,6650.00,RUSSELL HALL PRIMARY SCHOOL
Asset Management,2014-07-18,576.00,SITEXORBIS LIMITED
Asset Management,2014-07-23,10053.69,SOUTHMERE PRIMARY SCHOOL
Asset Management,2014-07-23,16595.00,THACKLEY PRIMARY SCHOOL
Asset Management,2014-07-28,750.00,TOWLERS
Asset Management,2014-07-25,810.00,VISUAL BLINDS
Asset Management,2014-07-11,1000.00,WEST & MACHELL LTD
Asset Management,2014-07-30,900.00,WEST & MACHELL LTD
Asset Management,2014-07-04,4595.55,REDACTED PERSONAL DATA
Bradford i,2014-07-21,999.00,VODAFONE
Building Control,2014-07-09,5287.06,CALDERDALE SEWER SERVICES
Building Control,2014-07-18,670.00,DRAKE PLANT HIRE
Building Control,2014-07-28,510.00,HAIGHS FOR DRAINS LTD
Building Control,2014-07-30,1915.00,HAVEN BUILDING & MAINTENANCE LTD
Building Control,2014-07-25,1225.00,KOREC
Business Services,2014-07-09,3995.36,LEVEL 3 COMMUNICATIONS UK LIMITED
Business Services,2014-07-09,-3995.36,LEVEL 3 COMMUNICATIONS UK LIMITED
Business Services,2014-07-14,3995.36,LEVEL 3 COMMUNICATIONS UK LIMITED
Business Services,2014-07-04,5725.00,NET VIEW SYSTEMS LTD
Business Services,2014-07-02,7269.70,NET VIEW SYSTEMS LTD
Business Services,2014-07-11,3456.50,NET VIEW SYSTEMS LTD
Business Services,2014-07-23,2199.00,SPECIALIST RADIO LTD
Business Services,2014-07-25,560.00,TERRIER SC LTD
Business Services,2014-07-02,2268.00,TMC TECHNOLOGY UK CO LTD
Changing Our Council,2014-07-11,1000.00,CIVICA UK LTD
Changing Our Council,2014-07-30,600.00,MOBILE XTREME
Council wide,2014-07-21,1371.44,BRITISH GAS TRADING LTD
Council wide,2014-07-21,1789.61,BRITISH GAS TRADING LTD
Council wide,2014-07-21,9392.63,BRITISH GAS TRADING LTD
Council wide,2014-07-21,16360.82,BRITISH GAS TRADING LTD
Council wide,2014-07-21,8885.62,BRITISH GAS TRADING LTD
Council wide,2014-07-21,8805.96,BRITISH GAS TRADING LTD
Democratic Services,2014-07-28,799.00,A PADWELL
Democratic Services,2014-07-16,2100.00,ADARE
Democratic Services,2014-07-18,17469.70,ADARE
Democratic Services,2014-07-30,70867.33,ADARE
Democratic Services,2014-07-23,675.00,BANGLADESHI COMMUNITY ASSOCIATION
Democratic Services,2014-07-30,626.40,BLOODFAST EVS LTD
Democratic Services,2014-07-21,818.11,BRADFORD HOSPITAL NHS TRUST
Democratic Services,2014-07-07,630.00,CALDERDALE & HUDDERSFIELD NHS FT
Democratic Services,2014-07-21,621.60,CHEMSOL LTD
Democratic Services,2014-07-16,860.00,D WALSH & SON FUNERAL DIRECTORS
Democratic Services,2014-07-18,2734.80,D WALSH & SON FUNERAL DIRECTORS
Democratic Services,2014-07-28,1707.00,DR JAMES GARVICAN
Democratic Services,2014-07-28,803.00,DR JAMES GARVICAN
Democratic Services,2014-07-28,2129.60,DR RICHARD KNIGHTS
Democratic Services,2014-07-28,609.40,DR RICHARD KNIGHTS
Democratic Services,2014-07-28,774.40,F ALI
Democratic Services,2014-07-30,511.00,G W BUTLER LTD
Democratic Services,2014-07-16,1755.08,HSBC BANK PLC
Democratic Services,2014-07-07,1926.75,HUDDERSFIELD FUNERAL HOME
Democratic Services,2014-07-30,1645.00,HUDDERSFIELD FUNERAL HOME
Democratic Services,2014-07-28,720.80,K L RAMSDEN
Democratic Services,2014-07-30,5064.00,KRAFTWORK
Democratic Services,2014-07-21,1870.00,LAWRENCE FUNERAL SERVICE
Democratic Services,2014-07-07,1452.00,LISA BARKER
Democratic Services,2014-07-28,1161.60,LISA BARKER
Democratic Services,2014-07-23,804.23,MEDIACOM NORTH LTD
Democratic Services,2014-07-09,1040.00,MILLET E ISLAMIA ASSOCIATION
Democratic Services,2014-07-02,600.00,MISS L BIRKETT
Democratic Services,2014-07-02,1471.50,Mr J Reynard
Democratic Services,2014-07-02,6043.65,Mrs Ayesha Marshall
Democratic Services,2014-07-30,717.40,NHS SUPPLIES
Democratic Services,2014-07-18,2847.72,ROYAL MAIL GROUP LTD
Democratic Services,2014-07-25,7600.46,ROYAL MAIL GROUP LTD
Democratic Services,2014-07-02,622.50,SHREE PRAJAPATI ASSOCIATION
Democratic Services,2014-07-28,975.00,TRANSLATE UK LIMITED
Democratic Services,2014-07-16,11509.83,UNIVERSITY HOSPITALS OF LEICESTER
Democratic Services,2014-07-11,4250.00,WAKEFIELD MET DIST CNCL
Democratic Services,2014-07-21,540.66,WAKEFIELD MET DIST CNCL
Development Services,2014-07-11,750.00,BINGLEY LITTLE THEATRE
Development Services,2014-07-30,41837.36,Graham Bolton Planning Partnership
Development Services,2014-07-23,4629.39,MEDIACOM NORTH LTD
Development Services,2014-07-09,2750.00,WYG ENVIRONMENT PLANNING TRANSPORT
Development Services,2014-07-09,-2750.00,WYG ENVIRONMENT PLANNING TRANSPORT
