Organisational Unit,Payment Date,Amount,Beneficiary Name
Health & Wellbeing,2016-12-15,756.00,06 CARE LTD
Health & Wellbeing,2016-12-29,4710.80,06 CARE LTD
Health & Wellbeing,2016-12-15,4850.80,06 CARE LTD
Health & Wellbeing,2016-12-21,4850.80,06 CARE LTD
Health & Wellbeing,2016-12-01,9044.60,06 CARE LTD
Health & Wellbeing,2016-12-21,539.00,06 CARE LTD
Health & Wellbeing,2016-12-29,539.00,06 CARE LTD
Health & Wellbeing,2016-12-15,1155.00,06 CARE LTD
Health & Wellbeing,2016-12-01,3010.00,06 CARE LTD
Health & Wellbeing,2016-12-29,3425.80,06 CARE LTD
Health & Wellbeing,2016-12-15,3551.80,06 CARE LTD
Health & Wellbeing,2016-12-21,3551.80,06 CARE LTD
Health & Wellbeing,2016-12-01,7103.60,06 CARE LTD
Health & Wellbeing,2016-12-21,1204.92,06 CARE LTD
Health & Wellbeing,2016-12-29,1269.84,06 CARE LTD
Health & Wellbeing,2016-12-15,1522.47,06 CARE LTD
Health & Wellbeing,2016-12-01,3325.85,06 CARE LTD
Health & Wellbeing,2016-12-29,4946.69,06 CARE LTD
Health & Wellbeing,2016-12-21,5545.72,06 CARE LTD
Health & Wellbeing,2016-12-15,6366.75,06 CARE LTD
Health & Wellbeing,2016-12-01,13928.83,06 CARE LTD
Health & Wellbeing,2016-12-29,815.34,06 CARE LTD
Health & Wellbeing,2016-12-01,917.64,06 CARE LTD
Health & Wellbeing,2016-12-15,505.05,06 CARE LTD
Health & Wellbeing,2016-12-21,505.05,06 CARE LTD
Health & Wellbeing,2016-12-29,505.05,06 CARE LTD
Health & Wellbeing,2016-12-01,1120.68,06 CARE LTD
Health & Wellbeing,2016-12-21,844.16,06 CARE LTD
Health & Wellbeing,2016-12-29,858.59,06 CARE LTD
Health & Wellbeing,2016-12-15,913.01,06 CARE LTD
Health & Wellbeing,2016-12-01,2285.20,06 CARE LTD
Soc Serv Children & Young Peop,2016-12-29,12067.25,1ARK PROJECT LTD
St Scene & Waste Man,2016-12-06,1638.88,1ST CHOICE PRIVATE HIRE
Children's Services,2016-12-15,11874.00,1ST SAFARI DAY NURSERIES LTD
Health & Wellbeing,2016-12-01,4896.00,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,1352.54,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,1352.54,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,1352.54,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,3266.48,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,3266.48,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,3266.48,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,6192.34,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,6192.34,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,6192.34,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,2912.00,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,2912.00,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,2912.00,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,1376.62,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,1376.62,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,1376.62,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,2813.86,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,2813.86,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,2813.86,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,3220.00,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,3220.00,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,3220.00,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,3292.38,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,3292.38,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,3292.38,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,3443.02,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,3443.02,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,3443.02,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,3643.22,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,3643.22,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,3643.22,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-01,3888.92,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-15,3888.92,2a PARK VIEW ROAD CARE HOME
Health & Wellbeing,2016-12-29,3888.92,2a PARK VIEW ROAD CARE HOME
Soc Serv Children & Young Peop,2016-12-15,1262.00,2ND NATURE CLEANING (SARAH WILSON)
Localities,2016-12-06,585.00,2ND NATURE CLEANING (SARAH WILSON)
"Theatres, Arts & Festivals",2016-12-19,1000.00,9XB LTD.
St Scene & Waste Man,2016-12-16,2409.00,A & C WEBER UK LTD
Facilities Management,2016-12-09,553.84,A C SISSLING (SPECIALIST IRONMONGER
Soc Serv Children & Young Peop,2016-12-14,723.35,A D WOODHEAD T/A WINDSTRUMENTS
