Organisational Unit,Payment Date,Amount,Beneficiary Name
AHL,2015-06-05,22000.00,NEW ADVENTURES SCISSORMAN LTD
AHL,2015-06-03,1381.80,SOCIETY OF LONDON THEATRE
AHL,2015-06-24,7865.20,KILIMANJARO LIVE
AHL,2015-06-10,18360.41,TLC EVENTS (LEICESTER) LTD
AHL Policy Res & Dev,2015-06-17,695.00,YP ELECTRONICS LTD
AHL Policy Res & Dev,2015-06-15,750.00,YUDU
AHL Policy Res & Dev,2015-06-12,695.00,YP ELECTRONICS LTD
AHL Policy Res & Dev,2015-06-01,709.80,A J PROMOTIONS
AHL Policy Res & Dev,2015-06-08,739.81,FARRAH'S OF HARROGATE
AHL Policy Res & Dev,2015-06-12,3308.68,SOUTHFIELD STATIONERS LTD
AHL Policy Res & Dev,2015-06-15,545.76,TRADITION GIFTWARE LIMITED
Asset Management,2015-06-01,6840.00,ENVIRONMENT AGENCY
Asset Management,2015-06-12,22700.00,COMBINED PROPERTY CONTROL
Asset Management,2015-06-22,2250.00,COMPLETE OFFICE SOLUTIONS LTD
Asset Management,2015-06-19,700.00,BROWFIELD CONTRACTING LTD
Asset Management,2015-06-19,1150.00,BROWFIELD CONTRACTING LTD
Asset Management,2015-06-01,1000.00,BROWFIELD CONTRACTING LTD
Asset Management,2015-06-05,720.00,BROWFIELD CONTRACTING LTD
Asset Management,2015-06-01,615.00,UNIVERSAL AV SERVICES LTD
Asset Management,2015-06-22,2500.00,BRITISH WOOL MARKETING BOARD
Asset Management,2015-06-22,2800.00,BRITISH WOOL MARKETING BOARD
Asset Management,2015-06-12,1000.00,BRITISH WOOL MARKETING BOARD
Asset Management,2015-06-15,8625.00,LAMBERT SMITH HAMPTON
Asset Management,2015-06-19,6604.95,LAMBERT SMITH HAMPTON
Asset Management,2015-06-26,7983.75,LAMBERT SMITH HAMPTON
Asset Management,2015-06-03,700.00,REDACTED PERSONAL DATA
Asset Management,2015-06-19,660.00,GRICE BROS & CO LTD
Asset Management,2015-06-19,687.50,GRICE BROS & CO LTD
Asset Management,2015-06-19,2604.50,GRICE BROS & CO LTD
Asset Management,2015-06-10,2354.00,GRICE BROS & CO LTD
Asset Management,2015-06-10,575.00,GRICE BROS & CO LTD
Asset Management,2015-06-26,605.00,GRICE BROS & CO LTD
Asset Management,2015-06-15,1320.00,GRICE BROS & CO LTD
Asset Management,2015-06-15,3800.00,GRICE BROS & CO LTD
Bradford i,2015-06-22,23170.00,BYTES SOFTWARE SERVICES LTD
Bradford i,2015-06-08,92494.35,MICROSOFT LTD
Bradford i,2015-06-26,650826.00,IBM UK LTD
Bradford i,2015-06-26,1527020.37,IBM UK LTD
Bradford i,2015-06-19,1576.78,CANON (UK) LTD
Bradford i,2015-06-15,630.00,SAP UK & IRELAND USER GROUP
Building Control,2015-06-17,650.00,HAIGHS FOR DRAINS LTD
Building Control,2015-06-24,945.00,DRAKE PLANT HIRE
Building Control,2015-06-17,895.00,HAVEN BUILDING & MAINTENANCE LTD
Business Services,2015-06-29,603.30,AIRWAVE SOLUTIONS LTD
Business Services,2015-06-29,4917.01,LEVEL 3 COMMUNICATIONS UK LIMITED
Business Services,2015-06-17,5482.41,MACS AUTOMATED BOLLARD SYSTEMS
Business Services,2015-06-05,1485.00,NET VIEW SYSTEMS LTD
Business Services,2015-06-26,3339.00,NET VIEW SYSTEMS LTD
Business Services,2015-06-19,1140.00,NET VIEW SYSTEMS LTD
Business Services,2015-06-19,3444.00,NET VIEW SYSTEMS LTD
Business Services,2015-06-19,3373.00,NET VIEW SYSTEMS LTD
Business Services,2015-06-03,3685.20,NET VIEW SYSTEMS LTD
Business Services,2015-06-05,2400.00,TERRIER SC LTD
Business Services,2015-06-05,2370.00,TERRIER SC LTD
Business Services,2015-06-12,1500.00,TECHNISTORE
Changing Our Council,2015-06-10,12812.50,NATIONAL CAR PARKS LTD
"Climate, Housing, Employment & Skills",2015-06-12,1150.00,AB Constructions
"Climate, Housing, Employment & Skills",2015-06-05,7960.94,HOWORTH CONSTRUCTION
"Climate, Housing, Employment & Skills",2015-06-29,10985.00,K P BUILDERS
"Climate, Housing, Employment & Skills",2015-06-10,5000.00,M.Z Property Repairs
Corporate Se,2015-06-26,4000.00,The Bradford Playhouse
Corporate Se,2015-06-05,96000.00,University of Bradford
Council Wide,2015-06-17,-629.51,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1326.07,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1370.35,NPOWER (ELECTRIC)
Council Wide,2015-06-17,957.25,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1733.50,NPOWER (ELECTRIC)
Council Wide,2015-06-03,2022.54,NPOWER (ELECTRIC)
Council Wide,2015-06-17,686.96,NPOWER (ELECTRIC)
Council Wide,2015-06-03,772.25,NPOWER (ELECTRIC)
Council Wide,2015-06-01,1733.18,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1390.30,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1718.84,NPOWER (ELECTRIC)
Council Wide,2015-06-01,-1869.09,NPOWER (ELECTRIC)
Council Wide,2015-06-01,-1531.14,NPOWER (ELECTRIC)
Council Wide,2015-06-01,-1497.85,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-629.51,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-629.51,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-629.51,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-629.50,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-629.50,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-609.17,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-609.17,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-609.17,NPOWER (ELECTRIC)
Council Wide,2015-06-17,-568.60,NPOWER (ELECTRIC)
Council Wide,2015-06-17,506.70,NPOWER (ELECTRIC)
Council Wide,2015-06-03,526.61,NPOWER (ELECTRIC)
Council Wide,2015-06-03,527.51,NPOWER (ELECTRIC)
Council Wide,2015-06-10,537.56,NPOWER (ELECTRIC)
Council Wide,2015-06-17,539.02,NPOWER (ELECTRIC)
Council Wide,2015-06-03,540.43,NPOWER (ELECTRIC)
Council Wide,2015-06-01,544.23,NPOWER (ELECTRIC)
Council Wide,2015-06-17,546.58,NPOWER (ELECTRIC)
Council Wide,2015-06-17,547.46,NPOWER (ELECTRIC)
Council Wide,2015-06-01,556.29,NPOWER (ELECTRIC)
Council Wide,2015-06-03,566.28,NPOWER (ELECTRIC)
Council Wide,2015-06-17,569.09,NPOWER (ELECTRIC)
Council Wide,2015-06-03,585.66,NPOWER (ELECTRIC)
Council Wide,2015-06-03,597.09,NPOWER (ELECTRIC)
Council Wide,2015-06-17,606.18,NPOWER (ELECTRIC)
Council Wide,2015-06-17,607.73,NPOWER (ELECTRIC)
Council Wide,2015-06-03,609.92,NPOWER (ELECTRIC)
Council Wide,2015-06-17,612.82,NPOWER (ELECTRIC)
Council Wide,2015-06-17,612.90,NPOWER (ELECTRIC)
Council Wide,2015-06-17,652.58,NPOWER (ELECTRIC)
Council Wide,2015-06-17,659.79,NPOWER (ELECTRIC)
Council Wide,2015-06-17,663.03,NPOWER (ELECTRIC)
Council Wide,2015-06-17,667.13,NPOWER (ELECTRIC)
Council Wide,2015-06-17,676.56,NPOWER (ELECTRIC)
Council Wide,2015-06-03,706.94,NPOWER (ELECTRIC)
Council Wide,2015-06-17,716.48,NPOWER (ELECTRIC)
Council Wide,2015-06-03,721.14,NPOWER (ELECTRIC)
Council Wide,2015-06-17,721.84,NPOWER (ELECTRIC)
Council Wide,2015-06-17,745.57,NPOWER (ELECTRIC)
Council Wide,2015-06-03,748.41,NPOWER (ELECTRIC)
Council Wide,2015-06-03,749.00,NPOWER (ELECTRIC)
Council Wide,2015-06-17,797.27,NPOWER (ELECTRIC)
Council Wide,2015-06-03,801.27,NPOWER (ELECTRIC)
Council Wide,2015-06-03,805.50,NPOWER (ELECTRIC)
Council Wide,2015-06-17,819.83,NPOWER (ELECTRIC)
Council Wide,2015-06-17,879.81,NPOWER (ELECTRIC)
Council Wide,2015-06-17,930.30,NPOWER (ELECTRIC)
Council Wide,2015-06-03,948.03,NPOWER (ELECTRIC)
Council Wide,2015-06-03,952.17,NPOWER (ELECTRIC)
Council Wide,2015-06-17,960.18,NPOWER (ELECTRIC)
Council Wide,2015-06-17,983.58,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1056.97,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1074.55,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1079.58,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1117.33,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1139.07,NPOWER (ELECTRIC)
Council Wide,2015-06-01,1143.24,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1145.87,NPOWER (ELECTRIC)
Council Wide,2015-06-01,1206.91,NPOWER (ELECTRIC)
Council Wide,2015-06-01,1228.31,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1230.67,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1237.74,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1240.50,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1241.21,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1247.41,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1262.51,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1280.44,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1295.26,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1322.96,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1326.07,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1326.19,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1338.40,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1370.34,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1370.34,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1370.35,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1370.35,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1370.35,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1410.67,NPOWER (ELECTRIC)
Council Wide,2015-06-01,1456.45,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1516.44,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1521.23,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1538.64,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1683.26,NPOWER (ELECTRIC)
Council Wide,2015-06-03,1724.08,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1740.60,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1762.90,NPOWER (ELECTRIC)
Council Wide,2015-06-01,1764.38,NPOWER (ELECTRIC)
Council Wide,2015-06-01,1835.92,NPOWER (ELECTRIC)
Council Wide,2015-06-01,1851.39,NPOWER (ELECTRIC)
Council Wide,2015-06-17,1961.50,NPOWER (ELECTRIC)
Council Wide,2015-06-17,2203.21,NPOWER (ELECTRIC)
Council Wide,2015-06-17,2273.28,NPOWER (ELECTRIC)
Council Wide,2015-06-01,2389.24,NPOWER (ELECTRIC)
Council Wide,2015-06-01,2550.67,NPOWER (ELECTRIC)
Council Wide,2015-06-17,2560.29,NPOWER (ELECTRIC)
Council Wide,2015-06-03,2609.70,NPOWER (ELECTRIC)
Council Wide,2015-06-17,2643.36,NPOWER (ELECTRIC)
Council Wide,2015-06-03,2652.76,NPOWER (ELECTRIC)
