Organisational Unit,Payment Date,Amount,Beneficiary Name
AHL,2015-07-03,1092.28,SOCIETY OF LONDON THEATRE
AHL,2015-07-24,3889.12,FOOTSTEPS THEATRE SCHOOL
AHL Policy Res & Dev,2015-07-20,2607.60,SALTS ESTATES LTD
AHL Policy Res & Dev,2015-07-10,900.00,TOURISM SOUTH EAST
AHL Policy Res & Dev,2015-07-03,701.64,MUSEUMS & GALLERIES LTD (MGL)
AHL Policy Res & Dev,2015-07-01,862.20,GATEHOUSE PRINTS
AHL Policy Res & Dev,2015-07-10,814.98,RICHARD LANG & SON LTD
AHL Policy Res & Dev,2015-07-03,536.44,MAYFIELD BOOKS & GIFTS
AHL Policy Res & Dev,2015-07-31,850.68,MAYFIELD BOOKS & GIFTS
Asset Management,2015-07-03,-700.00,COMPLETE OFFICE SOLUTIONS LTD
Asset Management,2015-07-06,800.00,BROWFIELD CONTRACTING LTD
Asset Management,2015-07-06,750.00,BROWFIELD CONTRACTING LTD
Asset Management,2015-07-06,520.00,AARAN SHEET METAL LTD
Asset Management,2015-07-06,1138.73,CANON (UK) LTD
Asset Management,2015-07-10,1428.41,CANON (UK) LTD
Asset Management,2015-07-20,847.50,GRICE BROS & CO LTD
Asset Management,2015-07-31,3600.00,GRICE BROS & CO LTD
Building Control,2015-07-31,875.00,KOREC
Building Control,2015-07-17,750.00,CALDERDALE MBC
Building Control,2015-07-31,890.00,XPOSE SURVEYS LLP
Building Control,2015-07-15,1150.00,PAUL MACARTHUR LTD T/A SCCS
Business Services,2015-07-01,3339.00,NET VIEW SYSTEMS LTD
Business Services,2015-07-03,1485.00,NET VIEW SYSTEMS LTD
Business Services,2015-07-10,4238.50,NET VIEW SYSTEMS LTD
Business Services,2015-07-03,1760.00,TERRIER SC LTD
Business Services,2015-07-15,1930.00,TERRIER SC LTD
Business Services,2015-07-01,3264.50,TMC TECHNOLOGY UK CO LTD
Business Services,2015-07-22,3764.48,Bosch Security Systems Limited
Business Services,2015-07-31,4966.69,NET VIEW SYSTEMS LTD
Business Services,2015-07-31,4191.80,NET VIEW SYSTEMS LTD
"Climate, Housing, Employment & Skills",2015-07-06,16775.49,D.A.DISTON JOINERS & CONTRACTORS LT
"Climate, Housing, Employment & Skills",2015-07-31,2750.00,GREEN PLUMBING & MAINTENANCE
"Climate, Housing, Employment & Skills",2015-07-03,6450.00,M.T. Gas & Heating Services
"Climate, Housing, Employment & Skills",2015-07-15,2750.00,Green Plumbing and Maintenance
"Climate, Housing, Employment & Skills",2015-07-15,1140.00,Hanover Carpets
"Climate, Housing, Employment & Skills",2015-07-15,805.00,J & C Clayton
"Climate, Housing, Employment & Skills",2015-07-17,3060.00,Wycherley Roofing
"Climate, Housing, Employment & Skills",2015-07-31,3900.00,Green Energy (Yorkshire) Ltd
"Climate, Housing, Employment & Skills",2015-07-03,9000.00,WESTFIELD BUILDERS
"Climate, Housing, Employment & Skills",2015-07-22,6284.53,WESTFIELD BUILDERS
Council Wide,2015-07-15,-19304.12,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,617.53,NPOWER (ELECTRIC)
Council Wide,2015-07-15,574.01,NPOWER (ELECTRIC)
Council Wide,2015-07-31,623.64,NPOWER (ELECTRIC)
Council Wide,2015-07-15,-18810.81,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-1044.30,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-1142.13,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,18810.81,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-3464.18,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-2175.56,BRITISH GAS TRADING LTD
Council Wide,2015-07-01,-371489.32,NPOWER (ELECTRIC)
Council Wide,2015-07-01,-288628.53,NPOWER (ELECTRIC)
Council Wide,2015-07-01,-217759.22,NPOWER (ELECTRIC)
Council Wide,2015-07-01,373840.53,NPOWER (ELECTRIC)
Council Wide,2015-07-01,289989.05,NPOWER (ELECTRIC)
Council Wide,2015-07-01,219460.09,NPOWER (ELECTRIC)
Council Wide,2015-07-13,592.41,NPOWER (ELECTRIC)
Council Wide,2015-07-13,575.21,NPOWER (ELECTRIC)
Council Wide,2015-07-13,4595.92,NPOWER (ELECTRIC)
Council Wide,2015-07-13,5646.92,NPOWER (ELECTRIC)
Council Wide,2015-07-13,4678.34,NPOWER (ELECTRIC)
Council Wide,2015-07-13,5921.71,NPOWER (ELECTRIC)
Council Wide,2015-07-13,3515.37,NPOWER (ELECTRIC)
Council Wide,2015-07-13,15381.35,NPOWER (ELECTRIC)
Council Wide,2015-07-13,1763.44,NPOWER (ELECTRIC)
Council Wide,2015-07-13,5950.16,NPOWER (ELECTRIC)
Council Wide,2015-07-13,1115.94,NPOWER (ELECTRIC)
Council Wide,2015-07-13,4781.29,NPOWER (ELECTRIC)
Council Wide,2015-07-13,6127.51,NPOWER (ELECTRIC)
Council Wide,2015-07-13,1167.36,NPOWER (ELECTRIC)
Council Wide,2015-07-13,8191.55,NPOWER (ELECTRIC)
Council Wide,2015-07-13,1679.65,NPOWER (ELECTRIC)
Council Wide,2015-07-13,1276.83,NPOWER (ELECTRIC)
Council Wide,2015-07-13,2661.04,NPOWER (ELECTRIC)
Council Wide,2015-07-13,1100.81,NPOWER (ELECTRIC)
Council Wide,2015-07-13,3565.82,NPOWER (ELECTRIC)
Council Wide,2015-07-13,3347.28,NPOWER (ELECTRIC)
Council Wide,2015-07-13,3751.04,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2695.34,NPOWER (ELECTRIC)
Council Wide,2015-07-15,3601.58,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1086.10,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2523.02,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1344.90,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1731.02,NPOWER (ELECTRIC)
Council Wide,2015-07-15,7772.80,NPOWER (ELECTRIC)
Council Wide,2015-07-15,946.32,NPOWER (ELECTRIC)
Council Wide,2015-07-15,5826.33,NPOWER (ELECTRIC)
Council Wide,2015-07-15,5055.08,NPOWER (ELECTRIC)
Council Wide,2015-07-15,766.57,NPOWER (ELECTRIC)
Council Wide,2015-07-15,6060.84,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1613.08,NPOWER (ELECTRIC)
Council Wide,2015-07-15,15586.99,NPOWER (ELECTRIC)
Council Wide,2015-07-15,3795.37,NPOWER (ELECTRIC)
Council Wide,2015-07-15,5961.31,NPOWER (ELECTRIC)
Council Wide,2015-07-15,5062.53,NPOWER (ELECTRIC)
Council Wide,2015-07-15,540.24,NPOWER (ELECTRIC)
Council Wide,2015-07-15,3486.73,NPOWER (ELECTRIC)
Council Wide,2015-07-15,5454.08,NPOWER (ELECTRIC)
Council Wide,2015-07-15,4971.33,NPOWER (ELECTRIC)
Council Wide,2015-07-15,722.70,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2575.40,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2827.96,NPOWER (ELECTRIC)
Council Wide,2015-07-15,663.77,NPOWER (ELECTRIC)
Council Wide,2015-07-15,606.22,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1367.32,NPOWER (ELECTRIC)
Council Wide,2015-07-15,999.17,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1314.47,NPOWER (ELECTRIC)
Council Wide,2015-07-15,577.82,NPOWER (ELECTRIC)
Council Wide,2015-07-15,555.64,NPOWER (ELECTRIC)
Council Wide,2015-07-15,887.81,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1225.51,NPOWER (ELECTRIC)
Council Wide,2015-07-15,737.52,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1320.26,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1280.44,NPOWER (ELECTRIC)
Council Wide,2015-07-15,607.09,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1656.46,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1854.31,NPOWER (ELECTRIC)
Council Wide,2015-07-15,3765.41,NPOWER (ELECTRIC)
Council Wide,2015-07-15,944.77,NPOWER (ELECTRIC)
Council Wide,2015-07-15,571.05,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2068.73,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1099.29,NPOWER (ELECTRIC)
Council Wide,2015-07-15,749.70,NPOWER (ELECTRIC)
Council Wide,2015-07-15,503.41,NPOWER (ELECTRIC)
Council Wide,2015-07-15,505.43,NPOWER (ELECTRIC)
Council Wide,2015-07-15,826.47,NPOWER (ELECTRIC)
Council Wide,2015-07-15,916.54,NPOWER (ELECTRIC)
Council Wide,2015-07-15,5485.05,NPOWER (ELECTRIC)
Council Wide,2015-07-15,650.00,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2075.80,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1691.01,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2595.35,NPOWER (ELECTRIC)
Council Wide,2015-07-15,529.82,NPOWER (ELECTRIC)
Council Wide,2015-07-15,579.38,NPOWER (ELECTRIC)
Council Wide,2015-07-15,907.48,NPOWER (ELECTRIC)
Council Wide,2015-07-15,518.28,NPOWER (ELECTRIC)
Council Wide,2015-07-15,806.30,NPOWER (ELECTRIC)
Council Wide,2015-07-15,520.77,NPOWER (ELECTRIC)
Council Wide,2015-07-15,578.99,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1295.26,NPOWER (ELECTRIC)
Council Wide,2015-07-15,722.77,NPOWER (ELECTRIC)
Council Wide,2015-07-15,532.95,NPOWER (ELECTRIC)
Council Wide,2015-07-15,811.03,NPOWER (ELECTRIC)
Council Wide,2015-07-15,834.21,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1406.57,NPOWER (ELECTRIC)
Council Wide,2015-07-15,663.67,NPOWER (ELECTRIC)
Council Wide,2015-07-15,590.01,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1970.88,NPOWER (ELECTRIC)
Council Wide,2015-07-15,687.03,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2555.34,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1203.52,NPOWER (ELECTRIC)
Council Wide,2015-07-15,902.44,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2381.85,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1054.91,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1827.59,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1280.70,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1958.98,NPOWER (ELECTRIC)
Council Wide,2015-07-15,924.26,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1695.79,NPOWER (ELECTRIC)
Council Wide,2015-07-15,714.22,NPOWER (ELECTRIC)
Council Wide,2015-07-15,1407.48,NPOWER (ELECTRIC)
Council Wide,2015-07-15,763.49,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2657.97,NPOWER (ELECTRIC)
Council Wide,2015-07-15,2584.99,NPOWER (ELECTRIC)
Council Wide,2015-07-15,612.07,NPOWER (ELECTRIC)
Council Wide,2015-07-15,575.05,NPOWER (ELECTRIC)
Council Wide,2015-07-15,574.58,NPOWER (ELECTRIC)
Council Wide,2015-07-15,154552.48,NPOWER (ELECTRIC)
Council Wide,2015-07-17,503.49,NPOWER (ELECTRIC)
Council Wide,2015-07-31,1806.84,NPOWER (ELECTRIC)
Council Wide,2015-07-31,1577.52,NPOWER (ELECTRIC)
Council Wide,2015-07-31,1538.96,NPOWER (ELECTRIC)
Council Wide,2015-07-31,1615.74,NPOWER (ELECTRIC)
Council Wide,2015-07-31,133996.07,NPOWER (ELECTRIC)
Council Wide,2015-07-15,3561.18,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-3069.42,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,3073.60,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-1527.45,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-3198.12,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,9148.59,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1874.15,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,10814.78,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-1874.15,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-9148.59,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-10814.78,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,3158.92,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-3390.34,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-27636.67,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1854.79,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1140.36,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-1476.55,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,3793.07,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,2475.68,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-3252.85,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,4051.02,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-3708.90,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-2518.56,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-3913.22,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1113.69,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1136.61,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,716.06,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-680.76,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,4773.07,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,2765.67,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,3788.60,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,2501.11,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1778.30,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1240.33,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-1584.82,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-2773.73,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-2068.51,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-1772.95,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-2804.26,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-4839.09,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-1450.72,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1956.85,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1234.10,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,720.70,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,878.94,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,910.60,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,501.94,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,555.19,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,674.40,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,531.73,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,779.29,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,2459.05,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1684.08,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,1242.53,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,816.77,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,-3073.60,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,7500.57,BRITISH GAS TRADING LTD
Council Wide,2015-07-15,4445.68,BRITISH GAS TRADING LTD
