Organisational Unit,Payment Date,Amount,Beneficiary Name
AHL,2015-02-13,14194.30,ASPIRING COMMUNITIES
AHL,2015-02-11,6720.80,BUTTERSHAW ST PAULS AODS
AHL,2015-02-04,2572.54,LEEDS BECKETT UNIVERSITY
AHL,2015-02-02,1233.28,SOCIETY OF LONDON THEATRE
AHL Policy Res & Dev,2015-02-18,1500.00,APL MEDIA LTD
AHL Policy Res & Dev,2015-02-02,1900.00,CARRIER DIRECT MARKETING
AHL Policy Res & Dev,2015-02-04,2607.60,SALTS ESTATES LTD
Asset Management,2015-02-02,1320.00,ACANTHUS WSM ARCHITECTS
Asset Management,2015-02-18,999.00,ANLABY WINDOW CLEANING SERVICES LTD
Asset Management,2015-02-06,625.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-06,521.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-06,583.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-06,507.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-06,623.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-06,642.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-06,847.90,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-06,756.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-09,795.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-09,626.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-18,618.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-18,766.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-18,918.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-25,581.00,DARVILLS REMOVALS & STORAGE LTD
Asset Management,2015-02-06,800.00,DRAKE PLANT HIRE
Asset Management,2015-02-06,1950.00,DRAKE PLANT HIRE
Asset Management,2015-02-06,1400.00,DRAKE PLANT HIRE
Asset Management,2015-02-06,600.00,DRAKE PLANT HIRE
Asset Management,2015-02-09,1687.50,ES (GROUP) LIMITED
Asset Management,2015-02-27,3371.50,GRICE BROS & CO LTD
Asset Management,2015-02-27,2462.50,GRICE BROS & CO LTD
Asset Management,2015-02-04,2550.00,HAYFIELD ROBINSON LETTING & PROPERT
Asset Management,2015-02-20,9052.16,KALASANGAM
Asset Management,2015-02-20,9052.16,KALASANGAM
Asset Management,2015-02-20,9052.16,KALASANGAM
Asset Management,2015-02-02,2500.00,UNIVERSAL AV SERVICES LTD
Asset Management,2015-02-27,1735.00,WEST & MACHELL LTD
Asset Management,2015-02-13,1254.00,Yorkshire Purchasing Organization
Asset Management,2015-02-13,1254.00,Yorkshire Purchasing Organization
Bradford i,2015-02-04,3181.00,1SOURCE IT LTD
Bradford i,2015-02-06,3150.00,CUBIK SOLUTIONS LTD
Bradford i,2015-02-06,1250.00,Datawatch International Ltd
Bradford i,2015-02-06,1654.60,ORACLE CORPORATION UK LTD
Bradford i,2015-02-04,742.00,QA LTD
Bradford i,2015-02-02,1980.00,QA LTD
Bradford i,2015-02-27,990.00,QA LTD
Bradford i,2015-02-09,1484.00,QA LTD
Bradford i,2015-02-09,990.00,QA LTD
Bradford i,2015-02-09,990.00,QA LTD
Bradford i,2015-02-09,2226.00,QA LTD
Bradford i,2015-02-13,990.00,QA LTD
Building Control,2015-02-02,1913.60,AIR SERVICES UK
Building Control,2015-02-27,1990.00,DRAKE PLANT HIRE
Building Control,2015-02-09,2094.00,HAMES RADIO COMMUNICATIONS
Building Control,2015-02-02,746.00,HONEYWELL ANALYTICS AG
Building Control,2015-02-02,1190.00,SUBSCAN UDS LTD
Building Control,2015-02-02,594.00,THOMAS CROMPTON EXCAVATIONS LTD
Business Services,2015-02-13,6280.00,NET VIEW SYSTEMS LTD
Business Services,2015-02-13,9801.30,NET VIEW SYSTEMS LTD
Business Services,2015-02-13,2055.39,OFCOM
Business Services,2015-02-25,3786.00,SOVEREIGN INTERNATIONAL LTD
Business Services,2015-02-25,16423.00,SOVEREIGN INTERNATIONAL LTD
Business Services,2015-02-25,6364.00,SOVEREIGN INTERNATIONAL LTD
"Climate, Housing, Employment & Skills",2015-02-18,2500.00,A B Construction
"Climate, Housing, Employment & Skills",2015-02-27,13394.13,EURO SMART TECH LTD
"Climate, Housing, Employment & Skills",2015-02-27,2700.00,Green View Projects
"Climate, Housing, Employment & Skills",2015-02-09,6000.00,H S KUNDI BUILDING CONTRACTORS
"Climate, Housing, Employment & Skills",2015-02-13,1400.00,HOME GUARD
"Climate, Housing, Employment & Skills",2015-02-13,7427.35,Khalid Mahmood
