Organisational Unit,Payment Date,Amount,Beneficiary Name
AHL Policy Res & Dev,2013-12-18,931.4,MAYFIELD BOOKS & GIFTS
AHL Policy Res & Dev,2013-12-11,575,R//EVOLUTION MARKETING
AHL Policy Res & Dev,2013-12-30,1200.00,R//EVOLUTION MARKETING
AHL Policy Res & Dev,2013-12-20,3500.00,TOURISM SOUTH EAST
Asset Management,2013-12-11,2000.00,AARAN SHEET METAL LTD
Asset Management,2013-12-23,4280.00,ACANTHUS WSM ARCHITECTS
Asset Management,2013-12-13,1790.88,Bruynzeel Storage Systems Ltd
Asset Management,2013-12-13,44982.14,Bruynzeel Storage Systems Ltd
Asset Management,2013-12-18,1395.00,CIPFA BUSINESS LTD
Asset Management,2013-12-11,22700.00,COMBINED PROPERTY CONTROL
Asset Management,2013-12-09,4380.00,COMPLETE OFFICE SOLUTIONS LTD
Asset Management,2013-12-02,736,DARVILLS REMOVALS
Asset Management,2013-12-11,736,DARVILLS REMOVALS
Asset Management,2013-12-18,895,DARVILLS REMOVALS
Asset Management,2013-12-18,920,DARVILLS REMOVALS
Asset Management,2013-12-18,920,DARVILLS REMOVALS
Asset Management,2013-12-11,897,DARVILLS REMOVALS
Asset Management,2013-12-02,500,DARVILLS REMOVALS
Asset Management,2013-12-23,557,DARVILLS REMOVALS
Asset Management,2013-12-11,956,DARVILLS REMOVALS
Asset Management,2013-12-02,1000.00,DARVILLS REMOVALS
Asset Management,2013-12-30,943.4,G E CAPITAL EQUIPMENT FINANCE LTD
Asset Management,2013-12-04,875,G King
Asset Management,2013-12-02,1800.00,GRICE BROS & CO LTD
Asset Management,2013-12-23,720,HAYFIELD ROBINSON
Asset Management,2013-12-18,-14387.21,HILL WOOLHOUSE PROPERTY MANAGEMENT
Asset Management,2013-12-18,11989.34,HILL WOOLHOUSE PROPERTY MANAGEMENT
Asset Management,2013-12-13,14387.21,HILL WOOLHOUSE PROPERTY MANAGEMENT
Asset Management,2013-12-18,9770.00,Knotweed Eradication
Asset Management,2013-12-30,-1534.55,MEDIACOM NORTH LTD
Asset Management,2013-12-30,1534.55,MEDIACOM NORTH LTD
Asset Management,2013-12-18,822.5,P & JE Foster
Asset Management,2013-12-23,7250.00,PROCTER FENCING SYSTEMS
Asset Management,2013-12-11,1200.00,STOREYS EDWARD SYMMONS
Asset Management,2013-12-18,787.4,TELECOMS PROPERTY CONSULTANCY LTD
Asset Management,2013-12-06,682,UNIVERSAL AV SERVICES LTD
Asset Management,2013-12-30,150000.00,VASILI INVESTMENTS LTD
Asset Management,2013-12-23,3480.00,WEST & MACHELL LTD
Bradford i,2013-12-04,1825.04,BYTES TECHNOLOGY GROUP
