Organisational Unit,Payment Date,Amount,Beneficiary Name
Adult & Community Services,2016-09-06,4822.80,06 CARE LTD
Adult & Community Services,2016-09-06,1505.00,06 CARE LTD
Adult & Community Services,2016-09-06,5072.16,06 CARE LTD
Adult & Community Services,2016-09-06,793.14,06 CARE LTD
Adult & Community Services,2016-09-08,542.94,06 CARE LTD
Adult & Community Services,2016-09-08,3882.36,06 CARE LTD
Adult & Community Services,2016-09-08,1199.70,06 CARE LTD
Adult & Community Services,2016-09-27,779.81,06 CARE LTD
Adult & Community Services,2016-09-27,4049.00,06 CARE LTD
Adult & Community Services,2016-09-27,777.00,06 CARE LTD
Adult & Community Services,2016-09-27,1505.00,06 CARE LTD
Adult & Community Services,2016-09-27,4822.80,06 CARE LTD
Adult & Community Services,2016-09-27,773.15,06 CARE LTD
Adult & Community Services,2016-09-27,4145.70,06 CARE LTD
Adult & Community Services,2016-09-27,777.00,06 CARE LTD
Adult & Community Services,2016-09-27,1505.00,06 CARE LTD
Adult & Community Services,2016-09-27,4822.80,06 CARE LTD
Adult & Community Services,2016-09-27,779.81,06 CARE LTD
Adult & Community Services,2016-09-27,3605.83,06 CARE LTD
Adult & Community Services,2016-09-27,1134.00,06 CARE LTD
Adult & Community Services,2016-09-27,1505.00,06 CARE LTD
Adult & Community Services,2016-09-27,4822.80,06 CARE LTD
Adult & Community Services,2016-09-08,3643.22,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,3220.00,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,3888.92,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,2813.86,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,3266.48,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,3292.38,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,6192.34,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,2912.00,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,3443.02,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,1352.54,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-08,1376.62,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,3443.02,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,1352.54,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,1376.62,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,3643.22,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,3220.00,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,3888.92,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,2813.86,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,3266.48,2a PARK VIEW ROAD CARE HOME
Adult & Community Services,2016-09-22,3292.38,2a PARK VIEW ROAD CARE HOME
