Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901685946,2022-07-08,64578615.00,
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5110137229,2022-07-20,18059287.10,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON LTD,Franchise/Concession Fixed Fee,1020\5110138291,2022-07-19,16436449.45,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900047550,2022-07-08,15111221.24,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900047538,2022-07-08,12066104.16,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900047545,2022-07-08,11585014.00,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900047548,2022-07-08,10448773.22,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900047544,2022-07-08,9831141.16,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900047542,2022-07-08,9398384.41,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5110136408,2022-07-18,8372865.80,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110126772,2022-07-13,7978569.33,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110130197,2022-06-30,7457784.00,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900047539,2022-07-08,6986884.80,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900047536,2022-07-08,6473480.49,
LONDON BUS SERVICES LTD,STAGECOACH SERVICES LIMITED,Bus Contract Payments,1006\1900047552,2022-07-08,6321546.95,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110126956,2022-07-08,5650616.02,
TFL CORPORATE,NETWORK RAIL INFRASTRUCTURE,National Rail Fixed Track Access Charges,1001\5110124618,2022-07-11,4959949.95,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900047639,2022-07-22,4809390.21,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5110131646,2022-07-20,4604680.04,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5110135703,2022-07-20,4446647.10,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900047537,2022-07-08,4131675.74,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900047551,2022-07-08,4098821.76,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900047549,2022-07-08,4051063.78,
RAIL FOR LONDON LIMITED,LONDON RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5110127004,2022-06-30,4042884.65,
LONDON UNDERGROUND LTD,DEPT FOR LEVELLINGUP HOUSING&COMMUN,Rates - Central Listed,1005\1900227095,2022-07-18,3840000.00,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900047627,2022-07-22,3812227.76,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900047634,2022-07-22,3706550.34,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900047637,2022-07-22,3303637.20,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900047633,2022-07-22,3270037.02,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901685947,2022-07-08,3149632.92,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900047540,2022-07-08,3132527.81,
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5110135934,2022-07-14,3105916.70,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110118356,2022-06-28,2992496.31,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110129140,2022-07-20,2992496.31,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110134083,2022-07-18,2912825.00,
