Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5109911661,2021-03-31,18390375.92,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900045537,2021-03-19,15246793.16,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109909419,2021-03-25,14132391.89,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900045526,2021-03-19,13487304.69,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901675844,2021-03-19,12737855.33,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900045533,2021-03-19,12053265.68,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900045532,2021-03-19,10738958.62,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900045535,2021-03-19,9453883.96,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900045530,2021-03-19,9248625.79,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109909456,2021-03-25,6890678.24,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900045527,2021-03-19,6774192.60,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE,Civil Engineering Construction Works,1005\5109904871,2021-03-25,6668527.70,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5109903794,2021-03-25,6661810.02,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045524,2021-03-19,6359052.40,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109898544,2021-03-19,5794958.07,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900045540,2021-03-19,5700198.18,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109905841,2021-03-25,5427376.69,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900045596,2021-03-30,5013668.36,
TFL CORPORATE,NETWORK RAIL,National Rail Fixed Track Access Charges,1001\5109894449,2021-03-24,4592079.65,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900045538,2021-03-19,4525089.66,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900045585,2021-03-30,4404906.20,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900045542,2021-03-19,4380158.85,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900045518,2021-03-19,4269267.00,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045525,2021-03-19,3910805.33,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900045592,2021-03-30,3888327.38,
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD,Contracted Services - Roads,1002\5109909697,2021-03-25,3739012.60,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109901878,2021-03-25,3716304.99,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900045515,2021-03-19,3653199.00,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900045536,2021-03-19,3631800.71,
RAIL FOR LONDON LIMITED,LONDON RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5109910282,2021-03-25,3524783.60,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900045591,2021-03-30,3522614.83,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5109898111,2021-03-24,3378549.97,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900045589,2021-03-30,3056570.99,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900045528,2021-03-19,2970169.52,
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1005\5109909631,2021-03-25,2850288.04,
LONDON UNDERGROUND LTD,ASHURST LLP,Purchase of Land & Buildings,1005\1900217251,2021-03-24,2739836.54,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900045520,2021-03-19,2581286.00,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Repairs & Maintenance,1020\5109908270,2021-03-24,2545155.10,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109902652,2021-03-25,2402056.93,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900045534,2021-03-19,2393006.50,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005\5109897886,2021-03-24,2382389.34,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002\5109890479,2021-03-12,2327367.75,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Operating Leases,1020\5109905695,2021-03-25,2250000.00,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900045586,2021-03-30,2233718.88,
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Maintenance of Plant & Equipment,1002\5109910134,2021-03-25,2225689.61,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900045516,2021-03-19,2138631.00,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045583,2021-03-30,2095424.82,
SURFACE TRANSPORT CORP,ROYAL BOROUGH OF KINGSTON UPON THAMES,Borough Services,1002\1900066985,2021-03-09,1943016.02,
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900045531,2021-03-19,1932756.02,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109902650,2021-03-25,1920974.06,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900045599,2021-03-30,1885737.77,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900045594,2021-03-30,1714085.17,
LONDON UNDERGROUND LTD,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1005\5109891913,2021-03-17,1661513.87,
SURFACE TRANSPORT CORP,AECOM LTD,Road Maintenance,1002\5109909580,2021-03-25,1567404.96,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HOUNSLOW,Borough Services,1002\1900067162,2021-03-09,1523000.00,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900045597,2021-03-30,1500615.56,
SURFACE TRANSPORT CORP,SIEMENS,Cameras,1002\5109914826,2021-03-31,1492443.97,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900045600,2021-03-30,1441657.11,
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Maintenance of Plant & Equipment,1002\5109909549,2021-03-25,1403003.87,
SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD,Road Maintenance,1002\5109909641,2021-03-25,1382505.20,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900045519,2021-03-19,1341614.00,
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5109893784,2021-03-11,1301774.12,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045584,2021-03-30,1291984.47,
RAIL FOR LONDON LIMITED,CLESHAR CONTRACT SERVICES LTD,Maintenance of Plant & Equipment,1020\5109897528,2021-03-17,1287392.81,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900045595,2021-03-30,1186461.36,
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5109882928,2021-03-17,1165485.33,
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5109899887,2021-03-10,1111077.55,
TFL CORPORATE,ERNST & YOUNG LLP,Financial Statement Audit Fees,1001\5109899790,2021-03-17,1087228.50,
LONDON UNDERGROUND LTD,LANES GROUP PLC,Building Maintenance & Repairs,1005\5109895702,2021-03-23,1079913.80,
LONDON UNDERGROUND LTD,CAPITA BUSINESS SERVICES LTD,IT Consultancy,1005\5109891930,2021-03-17,1076195.38,
RAIL FOR LONDON LIMITED,MOTT MACDONALD LIMITED,Management & Support Consultancy,1020\5109893746,2021-03-24,1064276.92,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045514,2021-03-19,1035790.00,
TFL CORPORATE,PRICEWATERHOUSECOOPERS LLP,Management & Support Consultancy,1001\5109885087,2021-03-08,1030714.00,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109898548,2021-03-19,1006336.28,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900045587,2021-03-30,977343.00,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5109898113,2021-03-24,972677.77,
LONDON BUS SERVICES LTD,DOCKLANDS MINIBUS LITD,Bus Contract Payments,1006\1900045529,2021-03-19,950240.32,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109909417,2021-03-24,946892.00,
SURFACE TRANSPORT CORP,EDF ENERGY,Electricity,1002\5109903747,2021-03-23,919384.06,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5109906141,2021-03-22,890534.56,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF HAMM& FULHAM,Borough Services,1002\1900067408,2021-03-22,877325.00,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Civil Engineering Construction Works,1012\5109910503,2021-03-25,847114.00,
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,MR Construction Costs,1020\5109897898,2021-03-25,827537.53,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,CCS Service Contract,1002\5109884568,2021-03-10,827446.00,
LONDON UNDERGROUND LTD,TELENT TECHNOLOGY SERVICES LTD,Security Equipment,1005\5109901125,2021-03-25,824981.08,
SURFACE TRANSPORT CORP,AA DRIVETECH,Contracted Services - Roads,1002\5109885485,2021-03-24,824398.42,
CYCLE HIRE SCHEME,SERCO LTD,Concession Maintenance Charge,1016\5109886059,2021-03-10,811248.60,
DOCKLANDS LIGHT RAILWAY,PITTVILLE LEASING LTD,Civil Engineering Construction Works,1012\5109905743,2021-03-25,806178.20,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF ISLINGTON,Borough Services,1002\1900067012,2021-03-17,803756.96,
SURFACE TRANSPORT CORP,GREATER LONDON AUTHORITY,CCS Service Contract,1002\5109896565,2021-03-19,749541.00,
LONDON BUS SERVICES LTD,HR RICHMOND LTD T/A EPSOM BUSES,Bus Contract Payments,1006\1900045539,2021-03-19,742188.05,
TFL CORPORATE,ORACLE CORPORATION UK LTD,Computer Hardware,1001\5109894354,2021-03-24,737942.96,
LONDON UNDERGROUND LTD,MITIE FM LIMITED,Security Services (Guards),1005\5109904488,2021-03-17,720706.30,
TRANSPORT TRADING LTD,HEATHROW EXPRESS,JFT Suspense  - TTL,1004\1901671235,2020-03-11,707287.61,
SURFACE TRANSPORT CORP,AECOM LTD,Contracted Services - Roads,1002\5109909515,2021-03-25,696368.52,
LONDON BUS SERVICES LTD,TRAPEZE PTI LTD,Maintenance of Plant & Equipment,1006\5109886625,2021-03-12,693541.62,
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5109898121,2021-03-25,685316.35,
TFL CORPORATE,COMPUTACENTER PLC,Computer Hardware,1001\5109882931,2021-03-17,684241.28,
