Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901684130,2022-04-14,56779099.98,
DOCKLANDS LIGHT RAILWAY,CONST. Y AUX. DE FERROCARRILES S.A,Vehicle Purchases,1012\5110086138,2022-04-01,21828437.59,
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5110102151,2022-04-29,20571900.88,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5110102824,2022-04-29,17220710.10,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900047126,2022-04-14,15188898.25,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900047114,2022-04-14,13304326.67,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900047121,2022-04-14,12092824.19,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900047124,2022-04-14,10827674.89,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900047120,2022-04-14,10347575.19,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900047118,2022-04-14,9133006.04,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5110101664,2022-04-25,7435822.65,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900047115,2022-04-14,6969719.51,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900047128,2022-04-14,6260141.18,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900047132,2022-04-14,6045066.17,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110088757,2022-04-11,5635336.54,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE,Civil Engineering Construction Works,1005\5110087744,2022-04-13,5425741.00,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5110088768,2022-04-06,5286111.51,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5110098322,2022-04-27,5270169.44,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900047214,2022-04-29,4995506.25,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5110099487,2022-04-27,4712313.04,
TFL CORPORATE,NETWORK RAIL,National Rail Fixed Track Access Charges,1001\5110087860,2022-04-14,4631571.53,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900047202,2022-04-29,4226546.15,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901684132,2022-04-14,4087451.86,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900047127,2022-04-14,4083212.06,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900047125,2022-04-14,4045591.97,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900047209,2022-04-29,3983571.52,
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1005\5110103708,2022-04-28,3903962.05,
LONDON UNDERGROUND LTD,DEPT FOR LEVELLINGUP HOUSING&COMMUN,Rates - Central Listed,1005\1900227095,2022-04-21,3840000.00,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900047113,2022-04-14,3673447.71,
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Building Maintenance & Repairs,1002\5110102773,2022-04-26,3556455.56,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5110089743,2022-04-25,3398091.68,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900047208,2022-04-29,3384955.28,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900047212,2022-04-29,3297471.20,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110086496,2022-04-04,3282686.18,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900047116,2022-04-14,3232743.50,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110102606,2022-04-29,3048165.43,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110100043,2022-04-26,2992496.31,
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5110097709,2022-04-14,2979243.99,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900047206,2022-04-29,2900508.93,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5110100040,2022-04-26,2818015.69,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900047122,2022-04-14,2714607.41,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005\5110095055,2022-04-26,2491206.55,
LONDON UNDERGROUND LTD,BAI COMMUNICATIONS LTD,Maintenance of Telecommunications Equipment,1005\5110102787,2022-04-28,2484582.00,
LONDON UNDERGROUND LTD,THALES GROUND TRANSPORTATION SYSTEM,Computer Hardware,1005\5110081051,2022-04-05,2477282.60,
SURFACE TRANSPORT CORP,F M CONWAY LTD,Building Maintenance & Repairs,1002\5110089618,2022-04-01,2429712.29,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5110097747,2022-04-27,2401377.18,
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1005\5110089749,2022-04-01,2220778.52,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5110088777,2022-04-08,2199890.07,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900047200,2022-04-29,2057821.85,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900047216,2022-04-29,2003626.70,
LONDON BUS SERVICES LTD,LONDON TRANSIT LIMITED,Bus Contract Payments,1006\1900047123,2022-04-14,1972583.62,
LONDON BUS SERVICES LTD,C T PLUS COMMUNITY INTEREST COMPANY,Bus Contract Payments,1006\1900047119,2022-04-14,1944967.60,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5110099500,2022-04-29,1940150.36,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Repairs & Maintenance,1020\5110101819,2022-04-22,1854137.72,
SURFACE TRANSPORT CORP,ROAD MANAGEMENT SERVICES PLC,A13 PFI Service Costs,1002\5110087852,2022-04-13,1819740.87,
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1005\5110097346,2022-04-08,1802518.65,
SURFACE TRANSPORT CORP,MORGAN SINDALL  PLC,Contracted Services - Roads,1002\5110084059,2022-04-08,1780508.78,
SURFACE TRANSPORT CORP,F M CONWAY LTD,Building Maintenance & Repairs,1002\5110103106,2022-04-27,1761748.33,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900047203,2022-04-29,1739803.22,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900047130,2022-04-14,1701832.92,
SURFACE TRANSPORT CORP,KIER HIGHWAYS LTD T/A TARMACKIER JV,Building Maintenance & Repairs,1002\5110089623,2022-04-01,1674661.67,
LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,Track General Maintenance,1005\5110103713,2022-04-28,1614750.26,
RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5110097705,2022-04-14,1602805.21,
SURFACE TRANSPORT CORP,F M CONWAY LTD,Building Maintenance & Repairs,1002\5110102613,2022-04-29,1590490.49,
RAIL FOR LONDON LIMITED,TRAM OPERATIONS LIMITED,Franchise/Concession Fixed Fee,1020\5110086636,2022-04-08,1495541.20,
SURFACE TRANSPORT CORP,F M CONWAY LTD,Building Maintenance & Repairs,1002\5110090414,2022-04-01,1417400.44,
LONDON UNDERGROUND LTD,MORSON HUMAN RESOURCES LTD,Track General Maintenance,1005\5110089177,2022-04-01,1410133.36,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110086498,2022-04-04,1398773.13,
LONDON UNDERGROUND LTD,THALES GROUND TRANSPORTATION SYSTEM,Computer Hardware,1005\5110080998,2022-04-05,1376379.00,
SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,Management & Support Consultancy,1002\5110080487,2022-04-04,1330756.96,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900047213,2022-04-29,1314970.60,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5110102611,2022-04-29,1298860.76,
DOCKLANDS LIGHT RAILWAY,BUCKINGHAM GROUP CONTRACTING LTD,Civil Engineering Construction Works,1012\5110098807,2022-04-12,1257282.60,
