Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901678895,2021-10-01,44031241.99,
LONDON UNDERGROUND LTD,SIEMENS,Professional Engineering Services,1005\5109995826,2021-09-23,34949275.91,
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5110019963,2021-10-15,17829492.47,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900046300,2021-10-01,15198032.57,
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5110020091,2021-10-13,14950064.58,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900046289,2021-10-01,13223652.93,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900046296,2021-10-01,11972640.18,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900046295,2021-10-01,10807091.32,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900046298,2021-10-01,10604014.77,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900046293,2021-10-01,9292931.99,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5110019189,2021-10-11,7513732.00,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5110004611,2021-09-29,7468505.70,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900046290,2021-10-01,6812893.86,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5110011368,2021-10-13,6616681.80,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900046287,2021-10-01,6183932.01,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900046302,2021-10-01,6091370.41,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5110009698,2021-09-27,5895949.00,
