Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109929745,2021-04-30,16793962.11,
RAIL FOR LONDON LIMITED,MTR CROSSRAIL,Franchise/Concession Fixed Fee,1020\5109929800,2021-04-28,16642809.11,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900045655,2021-04-16,15307888.72,
TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,Rail Settlement Plan - PAYG Creditor,1004\1901677115,2021-04-16,15259292.41,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900045644,2021-04-16,13473984.17,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900045651,2021-04-16,12061885.33,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900045650,2021-04-16,10874442.99,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900045653,2021-04-16,9422384.94,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900045648,2021-04-16,9241640.36,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5109924465,2021-04-21,8174480.55,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109907054,2021-04-07,7403045.93,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109913903,2021-04-26,7366127.63,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900045645,2021-04-16,6775034.87,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045642,2021-04-16,6243364.33,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE,Civil Engineering Construction Works,1005\5109928767,2021-04-28,6149638.36,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Fixed Fee,1012\5109929547,2021-04-26,5929914.34,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900045658,2021-04-16,5706973.03,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,Civil Engineering Construction Works,1031\5109925391,2021-04-27,5440558.02,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109914937,2021-04-19,5300965.94,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900045706,2021-04-30,5138565.22,
TFL CORPORATE,NETWORK RAIL,National Rail Fixed Track Access Charges,1001\5109915539,2021-04-19,4592079.65,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900045656,2021-04-16,4552239.11,
