Entity,Vendor Name,Expenditure Account,Document Number,Clearing Date,Amount,Merchant Category
RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,Franchise/Concession Fixed Fee,1020\5109863425,2021-01-06,15656270.42,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900045182,2020-12-24,15192700.97,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900045171,2020-12-24,13965151.80,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900045178,2020-12-24,11719358.86,
TFL CORPORATE,BYTES SOFTWARE SERVICES,Computer Hardware,1001\5109854123,2020-12-24,10709156.21,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900045177,2020-12-24,10471485.46,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900045180,2020-12-24,9616381.77,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900045175,2020-12-24,9248625.79,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109850342,2020-12-23,7339645.47,
DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,Franchise/Concession Variable Fee,1012\5109864034,2020-12-23,7330673.49,
SURFACE TRANSPORT CORP,METROPOLITAN POLICE,MPS Employment Costs SM,1002\5109850409,2020-12-16,7325909.54,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900045172,2020-12-24,6774708.42,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045169,2020-12-24,6455465.91,
RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,Civil Engineering Construction Works,1020\5109863961,2020-12-24,5985969.06,
TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,Cubic Oyster Contract Costs,1004\5109858871,2020-12-22,5898591.42,
LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE,Civil Engineering Construction Works,1005\5109863123,2021-01-06,5715829.20,
LONDON BUS SERVICES LTD,STAGECOACH,Bus Contract Payments,1006\1900045185,2020-12-24,5699224.77,
LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,Bus Contract Payments,1006\1900045227,2021-01-08,4935270.41,
LONDON UNDERGROUND LTD,DRAGADOS S.A.,Civil Engineering Construction Works,1005\5109863120,2021-01-05,4913944.68,
LUL NOMINEE SSL LIMITED,THALES GROUND TRANSP SYSTEMS UK LTD,Civil Engineering Construction Works,1031\5109864682,2021-01-06,4728867.38,
TFL CORPORATE,NETWORK RAIL,National Rail Fixed Track Access Charges,1001\5109855798,2020-12-29,4592079.65,
LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,Bus Contract Payments,1006\1900045216,2021-01-08,4545337.55,
LONDON BUS SERVICES LTD,METROLINE WEST LTD,Bus Contract Payments,1006\1900045183,2020-12-24,4514893.34,
LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,Bus Contract Payments,1006\1900045187,2020-12-24,4378342.32,
RAIL FOR LONDON LIMITED,LONDON RAIL LEASING LIMITED,Vehicle Operating Leases,1020\5109864184,2020-12-29,4074431.89,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045170,2020-12-24,3938588.79,
LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,Rates - Central Listed,1005\1900214281,2020-12-17,3840000.00,
LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,Bus Contract Payments,1006\1900045223,2021-01-08,3835237.98,
LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,MPS Employment Costs SM,1005\5109859161,2021-01-06,3834978.14,
LONDON BUS SERVICES LTD,METROBUS LIMITED,Bus Contract Payments,1006\1900045181,2020-12-24,3627829.94,
LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,Bus Contract Payments,1006\1900045222,2021-01-08,3452522.01,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,Fleet Tsssa Contract,1005\5109852050,2020-12-22,3381549.87,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Repairs & Maintenance,1020\5109862094,2020-12-29,3350000.00,
LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,Bus Contract Payments,1006\1900045225,2021-01-08,3246654.47,
LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,Bus Contract Payments,1006\1900045220,2021-01-08,3043676.06,
LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,Bus Contract Payments,1006\1900045173,2020-12-24,2917154.50,
LONDON UNDERGROUND LTD,THALES GRD TRANSPORTATION SYSTEMS,Computer Hardware,1005\5109848272,2020-12-16,2555391.54,
SURFACE TRANSPORT CORP,LONDON BOROUGH OF CAMDEN,Borough Services,1002\1900067102,2020-12-22,2482261.00,
RAIL FOR LONDON LIMITED,LINSINGER MASCHINENBAU GESELLSCHAFT,Equipment Repairs & Maintenance,1020\5109856633,2020-12-31,2439738.60,
LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,TLL Lease Costs,1005\5109853350,2020-12-22,2428361.23,
LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,Bus Contract Payments,1006\1900045179,2020-12-24,2328744.58,
LONDON UNDERGROUND LTD,GBM SERVICES LTD,Operational Cleaning,1005\5109864146,2021-01-07,2327140.77,
RAIL FOR LONDON LIMITED,BOMBARDIER TRANSPORT UK,Vehicle Repairs & Maintenance,1020\5109861569,2020-12-22,2266689.24,
LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,Bus Contract Payments,1006\1900045217,2021-01-08,2239298.47,
LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,Bus Contract Payments,1006\1900045214,2021-01-08,2104397.96,
DOCKLANDS LIGHT RAILWAY,CGL RAIL,Franchise/Concession Fixed Fee,1012\5109861947,2020-12-21,2023272.00,
SURFACE TRANSPORT CORP,RINGWAY JACOBS LIMITED,Maintenance of Plant & Equipment,1002\5109863792,2020-12-23,1929730.09,
LONDON BUS SERVICES LTD,CT PLUS LIMITED,Bus Contract Payments,1006\1900045176,2020-12-24,1922990.91,
