Payment Date,Amount,Organisational Unit,Beneficiary Name,Company Number,Charity Number
2021-04-30,16793962.11,RAIL FOR LONDON LIMITED,ARRIVA RAIL LONDON,,
2021-04-28,16642809.11,RAIL FOR LONDON LIMITED,MTR CROSSRAIL,,
2021-04-16,15307888.72,LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,,
2021-04-16,15259292.41,TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,,
2021-04-16,13473984.17,LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,,
2021-04-16,12061885.33,LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,,
2021-04-16,10874442.99,LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,,
2021-04-16,9422384.94,LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,,
2021-04-16,9241640.36,LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,,
2021-04-21,8174480.55,RAIL FOR LONDON LIMITED,MORGAN SINDALL  PLC,,
2021-04-07,7403045.93,SURFACE TRANSPORT CORP,METROPOLITAN POLICE,,
2021-04-26,7366127.63,LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,,
2021-04-16,6775034.87,LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,,
2021-04-16,6243364.33,LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,,
2021-04-28,6149638.36,LONDON UNDERGROUND LTD,FERROVIAL LAING O ROURKE,,
2021-04-26,5929914.34,DOCKLANDS LIGHT RAILWAY,KEOLIS AMEY DOCKLANDS LIMITED,,
2021-04-16,5706973.03,LONDON BUS SERVICES LTD,STAGECOACH,,
2021-04-27,5440558.02,LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,,
2021-04-19,5300965.94,TRANSPORT TRADING LTD,CUBIC TRANSPORTATION SYSTEMS LTD,,
2021-04-30,5138565.22,LONDON BUS SERVICES LTD,METROLINE TRAVEL LTD,,
2021-04-19,4592079.65,TFL CORPORATE,NETWORK RAIL,,
2021-04-16,4552239.11,LONDON BUS SERVICES LTD,METROLINE WEST LTD,,
2021-04-30,4404767.59,LONDON BUS SERVICES LTD,ARRIVA LONDON NORTH LTD,,
2021-04-16,4391109.53,LONDON BUS SERVICES LTD,TOWER TRANSIT OPERATIONS LTD,,
2021-04-30,3928309.27,LONDON BUS SERVICES LTD,LONDON GENERAL TRANSPORT SERVICES,,
2021-04-16,3916876.74,LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,,
2021-04-20,3840000.00,LONDON UNDERGROUND LTD,DEPT OF COMMUNITIES AND LOCAL GOVER,,
2021-04-16,3681052.74,LONDON BUS SERVICES LTD,METROBUS LIMITED,,
2021-04-28,3654520.65,LONDON UNDERGROUND LTD,DRAGADOS S.A.,,
2021-04-30,3583938.29,LONDON BUS SERVICES LTD,LONDON CENTRAL BUS COMPANY LTD,,
2021-04-27,3543806.16,SURFACE TRANSPORT CORP,CAPITA BUSINESS SERVICES LTD,,
2021-04-21,3381549.87,LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,,
2021-04-30,3079619.86,SURFACE TRANSPORT CORP,ENTERPRISEMOUCHEL LTD,,
2021-04-30,3043991.21,LONDON BUS SERVICES LTD,EAST LONDON BUS & COACH COMPANY LTD,,
2021-04-07,2984455.00,LONDON UNDERGROUND LTD,THALES GRD TRANSPORTATION SYSTEMS,,
2021-04-16,2973521.26,LONDON BUS SERVICES LTD,BLUE TRIANGLE BUSES LTD,,
2021-04-26,2832715.06,LONDON UNDERGROUND LTD,BRITISH TRANSPORT POLICE,,
2021-04-12,2766735.66,RAIL FOR LONDON LIMITED,QW RAIL LEASING LIMITED,,
2021-04-29,2531848.25,LONDON UNDERGROUND LTD,BALFOUR BEATTY RAIL LTD,,
2021-04-16,2413135.38,LONDON BUS SERVICES LTD,LONDON SOVEREIGN LTD,,
2021-04-30,2402517.97,SURFACE TRANSPORT CORP,AECOM LTD,,
2021-04-30,2384206.96,LUL NOMINEE SSL LIMITED,THALES GROUND TRANSPORTATION SYSTEM,,
2021-04-21,2382489.29,LONDON UNDERGROUND LTD,ALSTOM NL SERVICE PROVISION LTD,,
2021-04-30,2372311.18,LONDON UNDERGROUND LTD,GBM SERVICES LTD,,
2021-04-16,2335151.77,TRANSPORT TRADING LTD,RAIL SETTLEMENT PLAN,,
2021-04-28,2310240.00,TFL CORPORATE,CAPITA BUSINESS SERVICES LTD,,
2021-04-30,2249435.78,LONDON BUS SERVICES LTD,ARRIVA LONDON SOUTH LTD,,
2021-04-06,2174332.73,LONDON UNDERGROUND LTD,CAPITA BUSINESS SERVICES LTD,,
2021-04-30,2084909.92,LONDON BUS SERVICES LTD,ABELLIO LONDON LTD,,
2021-04-30,2076080.45,LONDON BUS SERVICES LTD,LONDON UNITED BUSWAYS,,
2021-04-16,1932756.02,LONDON BUS SERVICES LTD,CT PLUS LIMITED,,
2021-04-30,1890915.70,LONDON BUS SERVICES LTD,STAGECOACH,,
