,,Directorate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,ALPHA RADIO LTD T/ASTAR RADIO,3077322,500,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,JOHN GOOD LTD,3076846,2700.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,3077328,567.13,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1610.00,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1260.00,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1225.00,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,962.5,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MRS ELAINE AVERIS,3077621,550,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3075645,520.66,Advertising
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3076911,576,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHERN ROUND DELIVERY SERVICES,3072717,1160.00,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,671.6,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1038.98,Postages
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,1346.12,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1911.82,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,698.84,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1432.55,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,736.96,Postages
INSERTED DETAIL,,Resources Group,Resources,XMA LIMITED,3076969,777,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,Finance,ERNST & YOUNG LLP,3075276,25544.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,985.44,Security Services
INSERTED DETAIL,,Resources Group,Finance,SECURICOR CASH SERVICES LTD,0,985.44,Security Services
INSERTED DETAIL,,Resources Group,ICT,DAISY COMMUNICATIONS LTD,0,7907.21,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,4033.27,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS LIMITED,0,3315.63,Telephone Costs
INSERTED DETAIL,,Resources Group,ICT,VODAFONE,0,2669.64,Telephone Costs
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3067048,1666.00,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,1460.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BOND DICKINSON,3065636,1609.50,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,SYD STRIKE TRAINING SOLUTIONS,3076556,520,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3074543,809.75,Repairs - Door Entry System
INSERTED DETAIL,,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3074183,571.75,Repairs - Door Entry System
INSERTED DETAIL,,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3074182,562.5,Repairs - Door Entry System
INSERTED DETAIL,,Resources Group,Transformation,BARR & WRAY LTD,3072606,2654.00,Alterations & Improvements - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,BGP CONSULTING LIMITED,3075991,2900.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,CANON (UK) LIMITED,0,20396.79,Printing
INSERTED DETAIL,,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,2443.59,Electricity
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1508.86,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1392.33,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1843.24,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,921.8,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,872.72,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,11497.97,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,3847.54,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,554.33,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1797.28,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1474.02,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,5821.66,Gas
INSERTED DETAIL,,Resources Group,Transformation,DALE POWER SOLUTIONS PLC,3076067,673.91,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,DARLINGTON SCAFFOLDING LTD,3075867,550,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,ELECTRONIC SECURITY SOLUTIONS LTD,3076094,567.71,Cyclical - Intruder Alarms
INSERTED DETAIL,,Resources Group,Transformation,GUARDIAN ELECTRICAL SOLUTIONS,3073366,4419.00,Cyclical - Electrical Installation Test
INSERTED DETAIL,,Resources Group,Transformation,INITIAL WASHROOM HYGIENE,3066619,3438.65,Hygiene Services
INSERTED DETAIL,,Resources Group,Transformation,JALNA CONSTRUCTION LTD,3076106,5470.00,Building Cleaning
INSERTED DETAIL,,Resources Group,Transformation,NETWORK RAIL,3076113,3623.33,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,NORTHERN STEEPLEJACKS (EDINBURGH) LTD,3070479,13995.00,Cyclical - Lightening Protection
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1384.81,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,541.95,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,865.83,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1694.62,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,2284.37,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1750.56,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,3184.62,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,723.81,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NORTHUMBRIAN WATER,0,1127.14,Water Charges
INSERTED DETAIL,,Resources Group,Transformation,NPOWER,0,700,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,23781.59,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1513.49,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1113.31,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,665.4,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1350.61,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,645.25,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,10582.77,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,930.28,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,2148.10,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,963.2,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,4197.25,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,794.6,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,958.96,Electricity
INSERTED DETAIL,,Resources Group,Transformation,NPOWER NORTHERN FINANCE,0,1859.27,Electricity
INSERTED DETAIL,,Resources Group,Transformation,OTIS PLC,3074737,828,Repairs - Lifts
INSERTED DETAIL,,Resources Group,Transformation,OTIS PLC,3077660,2569.24,Repairs - Lifts
INSERTED DETAIL,,Resources Group,Transformation,OTIS PLC,3077732,13786.75,Repairs - Lifts
INSERTED DETAIL,,Resources Group,Transformation,PRO THERM,3076146,570,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,REDFERN BUILDING SERVICES LIMITED,3076318,833.45,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,SCHOTT REMOVALS TRANSPORT LTD,3077723,1170.40,Equipment
INSERTED DETAIL,,Resources Group,Transformation,STONE TECHNICAL SERVICES,3074648,2680.00,Repairs - Building Fabric
INSERTED DETAIL,,Resources Group,Transformation,T P S BOILER SPARES,3076165,1500.00,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,T P S BOILER SPARES,3076620,1548.80,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,T P S BOILER SPARES,3076724,751.14,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,T W WARD INDUSTRIAL BOILERS,3076149,850,Repairs - Mechanical
INSERTED DETAIL,,Resources Group,Transformation,VIRGIN MEDIA BUSINESS,0,4471.20,Telephone Costs
INSERTED DETAIL,,Resources Group,Transformation,VIRGIN MEDIA BUSINESS,0,4739.52,Telephone Costs
INSERTED DETAIL,,Resources Group,DLO Services,BUNZL CLEANING & HYGIENE SUPPLIES,3076591,1071.74,Other Consumables
