Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
SHEAF SQUARE/HOWARD ST,6030,REPAIRS AND MTCE - RESPONSIVE,2014-04-02,3623453,112889,370,STEEL LINE LTD,208650,Construction,STEEL FABRICATORS & ERECTORS
GRANT DD,8440,FEE EXPENSES,2014-04-02,3624639,ERS INVOICE99026,100000.00,A HERRING LTD,593715,Vehicles Not Buses,"COMMERCIAL VEHICLE SERVICING,"
SERVICE TENANCIES,8350,MISCELLANEOUS EXPENSES,2014-04-02,3624640,ERS INVOICE99027,360,REDACTED PERSONAL DATA,590840,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
GRANT DD,8440,FEE EXPENSES,2014-04-02,3624641,ERS INVOICE99028,150000.00,KRANTECH HOLDINGS LTD,594640,Building Construction Materials,ENGINEERING MATERIALS
GRANT DD,8440,FEE EXPENSES,2014-04-02,3624642,ERS INVOICE99029,112500.00,UNIPART RAIL LIMITED,593298,Facilities Management,RAILWAY EQUIPMENT MNFRS
GRANT DD,8440,FEE EXPENSES,2014-04-02,3624643,ERS INVOICE99030,104250.00,BETAFENCE LIMITED,493244,Building Construction Materials,WIRE PRODUCTS - MNFRS
CORPORATE ADJUSTMENTS,9940,CORPORATE ADJUSTMENTS TO COSTS,2014-04-02,3624718,ERS INVOICE99042,1551933.00,SOUTH YORKSHIRE POLICE,346012,Unclassified Non Trade,POLICE
CORPORATE ADJUSTMENTS,9940,CORPORATE ADJUSTMENTS TO COSTS,2014-04-02,3624719,ERS INVOICE99043,1551933.00,SOUTH YORKSHIRE POLICE,346012,Unclassified Non Trade,POLICE
CORPORATE ADJUSTMENTS,9940,CORPORATE ADJUSTMENTS TO COSTS,2014-04-02,3624720,ERS INVOICE99044,1551933.00,SOUTH YORKSHIRE POLICE,346012,Unclassified Non Trade,POLICE
CORPORATE ADJUSTMENTS,9940,CORPORATE ADJUSTMENTS TO COSTS,2014-04-02,3624721,ERS INVOICE99045,1551933.00,SOUTH YORKSHIRE POLICE,346012,Unclassified Non Trade,POLICE
