Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-02,3238423,18992,1970.80,ACL HIGHWAY SERVICES LTD,414647,Environmental Services,WASTE DISPOSAL SERVICES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-02,3238434,19000,788.32,ACL HIGHWAY SERVICES LTD,414647,Environmental Services,WASTE DISPOSAL SERVICES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-02,3238509,402791516SH,549.25,GAP GROUP LTD,205064,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-02,3238519,75173,850.00,E HARPER (YORK) LIMITED,504567,Environmental Services,DRAIN & SEWER CLEARANCE
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-02,3239660,FINAL A/C 22/12,776.31,GRACE LANDSCAPES LTD,405048,Consultancy,LANDSCAPE ARCHITECTS & DESIGNE
HOMELESS INTERIM ACCOMM,6210,BED & BREAKFAST PAYMENTS,2012-04-02,3238639,013/2012,766.00,EARL MARSHALL GUEST HOUSE,391589,Facilities Management,GUEST HOUSES
PURCHASING LEARNING DISABILITI,9190,DIRECT PAYMENTS,2012-04-02,3238599,J468225,2561.60,REDACTED PERSONAL DATA,562179,Social Community Care,CAREFIRST DIRECT PAYMENTS
PURCHASING ELDERLY,9190,DIRECT PAYMENTS,2012-04-02,3238601,J468225,1008.00,REDACTED PERSONAL DATA,566340,Social Community Care,CAREFIRST DIRECT PAYMENTS
CWD INDEPENDENT PLACEMENTS,9270,CARELEAVERS ACCOMMODATION,2012-04-02,3238594,SRO1117322,1176.00,THE NATIONAL AUTISTIC SOCIETY,334778,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2012-04-02,3238595,273A,1271.25,ROUNDABOUT LTD,316572,Facilities Management,HOSTELS
UASC/ASYLUM - LEAVING CARE,6210,RENTS,2012-04-02,3238606,REN0254,1406.50,REDACTED PERSONAL DATA,457099,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
UASC/ASYLUM 16-17,6210,RENTS,2012-04-02,3238627,4962,3314.41,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
UASC/ASYLUM 16-17,6210,RENTS,2012-04-02,3238628,4963,3314.41,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
UASC/ASYLUM 16-17,6210,RENTS,2012-04-02,3238629,4965,3314.41,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-04,3238641,263,977.50,S R HIRD PLANT,503211,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-04,3238642,264,1886.75,S R HIRD PLANT,503211,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-04,3238643,3012007850,871.85,BOC LIMITED,493076,Utilities,GAS SUPPLIERS
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-04,3238644,3182,770.75,JOHN-HENRY HAULAGE SHEFFIELD,475313,Transport,ROAD HAULAGE SERVICES
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-04,3238645,32873,2486.57,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-04-04,3238646,32874,1078.56,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
