Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
INDEPENDENT RES BLOCK PLACEMEN,9270,CARELEAVERS ACCOMMODATION,2012-07-02,3289217,200465,12400.08,REDACTED PERSONAL DATA,559392,Social Community Care,CHILDCARE SERVICES
INDEPENDENT FOSTERING PLACEMEN,9270,INDEPENDENT FOSTERING,2012-07-02,3289215,857,3662.34,REDACTED PERSONAL DATA,433318,Social Community Care,ADOPTION & FOSTERING
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3288956,34147,4685.60,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3288957,34148,20276.16,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3288958,34149,525.60,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3288969,401099,680.00,BANNER PLANT  LTD,203248,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3288970,401100,906.00,BANNER PLANT  LTD,203248,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3288971,401101,736.00,BANNER PLANT  LTD,203248,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3288987,34141,1108.80,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3288998,34142,6826.32,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3289009,34143,6840.37,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3289019,92089,915.00,HALL PLANT HIRE,435420,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3289020,34144,2181.44,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3289023,92104,770.00,HALL PLANT HIRE,435420,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3289024,92132,814.40,HALL PLANT HIRE,435420,Vehicles Not Buses,PLANT & MACHINERY HIRE & LEASI
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3289031,34146,3341.52,MHH CONTRACTING LTD,205329,Construction,EXCAVATION & GROUNDWORK CONTRA
STREET FORCE BALANCE SHEET,776,4332101 INVOICES PAID,2012-07-02,3289364,21493,18325.00,FINDLAY IRVINE LIMITED,493263,Unclassified Trade,ELECTRONIC ENGINEERS
UNIVERSAL YOUTH SERVICE,9120,OTHER AGENCIES,2012-07-02,3289553,ERS INVOICE68603,960.00,7 HILLS LEISURE TRUST,566500,Leisure Services,SPORTS GROUND & STADIUM CONTRA
UNIVERSAL YOUTH SERVICE,9120,OTHER AGENCIES,2012-07-02,3289562,ERS INVOICE68612,900.00,PLAY AND SPORTS SOLUTION LIMITED,562235,Leisure Services,SPORTS COACHING & INSTRUCTION
UNIVERSAL YOUTH SERVICE,9120,OTHER AGENCIES,2012-07-02,3289563,ERS INVOICE68613,996.00,ECCLESFIELD SCOUTS HQ FUND,556754,Unclassified Non Trade,COMMUNITY PROJECTS
CLAIMS,8740,PUBLIC LIABILITY,2012-07-02,3289567,ERS INVOICE68617,820.00,REDACTED PERSONAL DATA,569623,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,HIGHWAYS,2012-07-02,3289568,ERS INVOICE68618,1650.00,REDACTED PERSONAL DATA,569624,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
CLAIMS,8740,HIGHWAYS,2012-07-02,3289569,ERS INVOICE68619,509.40,DEPARTMENT FOR WORK & PENSIONS,326920,Unclassified Non Trade,CENTRAL GOVERNMENT
ABST GRANTS,9120,OTHER AGENCIES,2012-07-02,3289576,ERS INVOICE68626,36967.00,SHEFFIELD WELL-BEING CONSORTIUM,503588,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
UNIVERSAL YOUTH SERVICE,9120,OTHER AGENCIES,2012-07-02,3289578,ERS INVOICE68628,1435.00,ART IN THE PARK (SHEFFIELD),472059,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
VS - TACKLING POVERTY,8180,GRANTS,2012-07-02,3289585,ERS INVOICE68635,13556.00,PITSMOOR CITIZENS ADVICE BUREAU,316703,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
MS - IRR STAGES 2 & 3,1146,L&B PROFESSIONAL FEES,2012-07-02,3289610,ERS INVOICE68660,900.00,DLA PIPER UK LLP,299690,Legal Services,SOLICITORS
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-07-02,3289718,ERS INVOICE68701,975.00,IAN M SPOONER PHOTOGRAPHY,396843,Facilities Management,PHOTOGRAPHERS - GENERAL
LEARNING & YOUNG PEOPLE,8060,MATERIALS AND SUPPLIES GENERAL,2012-07-02,3289721,ERS INVOICE68718,1211.15,STACEY SAMPSON,569079,Education,DRAMA SCHOOLS
CORPORATE PARENTING,9360,FUNDS ALLOCATED TO SCHOOLS,2012-07-02,3257113,16793,500.00,REDACTED PERSONAL DATA,543672,Social Community Care,ADOPTION & FOSTERING
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-07-02,3268516,979499/002,13976.00,BLACK WOMEN'S RESOURCE CENTRE,299561,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
REGISTER OFFICE,8390,STATIONERY,2012-07-02,3273322,5004,1386.55,CIVIL CEREMONIES LTD,344743,Human Resources,TRAINING SERVICES
PROJECT MANAGEMENT - SCHEME,8350,MISCELLANEOUS EXPENSES,2012-07-02,3275045,5708,16897.00,EURO ENVIRONMENTAL LTD,399641,Construction,ASBESTOS SURVEYS & REMOVALS
AQUATICS SQUADS,6280,HIRE OF PREMISES,2012-07-02,3275328,3022464,8197.60,PONDS FORGE,320223,Leisure Services,LEISURE & RECREATION CENTRES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-07-02,3277530,2(Q22012/13),22237.00,SHEFFIELD CHILDREN'S CENTRE,311908,Social Community Care,NURSERIES & CRECHES
WOODLANDS,8260,WOODLAND DEVELOPMENT EXPENSES,2012-07-02,3277779,97,938.40,HN WOODLAND & ESTATE MANAGEMENT,317072,Environmental Services,TREE WORK & FORESTRY SERVICES
WOODLANDS,8260,WOODLAND DEVELOPMENT EXPENSES,2012-07-02,3277830,98,1775.40,HN WOODLAND & ESTATE MANAGEMENT,317072,Environmental Services,TREE WORK & FORESTRY SERVICES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-07-02,3282565,41061,12855.00,MANOR COMMUNITY CHILDCARE CENTRE LTD,311892,Social Community Care,NURSERIES & CRECHES
OTHER LOCAL AUTHORITY PLACEMEN,9120,OTHER AGENCIES,2012-07-02,3282623,4900000412,2100.00,REDACTED PERSONAL DATA,569204,Social Community Care,HOME CARE SERVICES
OTHER REPAIRS & FEES,6030,BURGLAR ALARM REPAIRS,2012-07-02,3282666,ISG/SERV/028/12,13491.69,TELSTAR SECURITY,299814,Facilities Management,SECURITY EQUIPMENT
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-07-02,3283370,41061,7660.00,MANOR COMMUNITY CHILDCARE CENTRE LTD,311892,Social Community Care,NURSERIES & CRECHES
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-07-02,3283517,41092,16708.00,DARNALL COMMUNITY NURSERY,515866,Unclassified Non Trade,"PLAYGROUPS, NURSERIES & CRECHE"
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-07-02,3283662,160,36473.00,MANOR & CASTLE DEVELOPMENT TRUST,314473,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
HOMES & LOANS TEAM,6280,HIRE OF PREMISES,2012-07-02,3284330,0044/11719,1106.00,BLADES ENTERPRISE CENTRE,314133,Unclassified Trade,BUSINESS CENTRES
CUSTOMER CARE & COMMUNICATIONS,8490,TRANSLATN/SIGN/INTERPRET FEES,2012-07-02,3284345,2949931,611.97,LANGUAGE LINE LIMITED,206348,Human Resources,TRANSLATORS & INTERPRETERS
CONCORD PARK MUGA,1194,OTHER FEES,2012-07-02,3284366,14062,27559.47,HORTICON LTD,525508,Construction,LANDSCAPE CONTRACTORS
NORBURY,7040,OTHER VEHICLE RUNNING COSTS,2012-07-02,3284374,2100071942,1188.33,SHEFFIELD HEALTH & SOCIAL CARE NHS,353994,Unclassified Non Trade,HOSPITALS
WOODLANDS,8260,WOODLAND DEVELOPMENT EXPENSES,2012-07-02,3284387,O297,747.00,AAA 1ST CALL,361147,Environmental Services,SKIP HIRE
ALMO ASBESTOS SURVEYS,1157,DWELLINGS MAIN CONTRACT,2012-07-02,3284886,S31144,26600.00,ASBESTOS CONSULTANTS TO THE ENVIRONMENT,516568,Construction,ASBESTOS SURVEYS & REMOVALS
CORPORATE CS MGT,6210,RENTS,2012-07-02,3285345,025/86855,21243.25,MARS PENSION TRUSTEES LIMITED,537372,Consultancy,SURVEYORS & VALUERS
CORPORATE CS MGT,6270,SERVICE / PFI UNITARY CHARGE,2012-07-02,3285345,025/86855,11930.90,MARS PENSION TRUSTEES LIMITED,537372,Consultancy,SURVEYORS & VALUERS
PARKS OPERATIONS NORTH,8010,EQUIPMENT PURCHASE AND REPAIR,2012-07-02,3285699,SIN270096,1950.00,SEDDONS (PLANT & ENGINEERS) LTD,533323,Construction,ENGINEERS - GENERAL
SWAN COMMISSIONED,1147,DEMOLITION,2012-07-02,3285745,971784,510.68,YEDL CASHIER,353721,Utilities,ELECTRICITY COMPANIES
FURNISHED ACCOMMODATION,6020,VOID PAINTING INITIATIVE,2012-07-02,3286032,L07686,584.00,BELL GROUP (LEEDS),441427,Construction,PAINTERS & DECORATORS
CITY WIDE CHILD CARE CONTRACT,8440,FEE EXPENSES,2012-07-02,3286760,8,47592.00,TINSLEY PARENTS & CHILDRENS CONSORTIUM,478244,Social Community Care,NURSERIES & CRECHES
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-07-02,3286771,1769/12,802.00,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
MINOR ADAPTATIONS,6030,REPAIRS AND MTCE - RESPONSIVE,2012-07-02,3286774,1767/12,627.00,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
MINOR ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2012-07-02,3286777,1771/12,562.00,PIKE JOINERY LIMITED,453858,Construction,CARPENTERS & JOINERS
LACES,8440,FEE EXPENSES,2012-07-02,3286800,54,500.00,WALES HIGH SCHOOL ACADEMY TRUST,566922,Unclassified Non Trade,DO NOT USE* SCH - LOCAL AUTH
ADVOCACY & CHALLENGE,8440,FEE EXPENSES,2012-07-02,3286894,INV000026,1000.00,WEST MELTON PRIMARY SCHOOL,567360,Unclassified Non Trade,DO NOT USE* SCH - LOCAL AUTH
CREATIVE SERVICES,9120,OTHER AGENCIES,2012-07-02,3287134,36873,3108.00,GARNETT DICKINSON PUBLISHING LTD,205074,Education,NEWSPAPER & MAGAZINE PUBLISHER
MECHANICAL & ELECTRICAL ENGINE,8350,MISCELLANEOUS EXPENSES,2012-07-02,3287138,I35771,6875.00,CIBSE PUBLICATIONS,318167,Construction,ENGINEERS - GENERAL
LICENSING,8060,MATERIALS AND SUPPLIES GENERAL,2012-07-02,3287163,14021,552.22,VIP SYSTEM LTD.,455617,Vehicles Not Buses,CAR ACCESSORIES & PARTS
AQUATICS SQUADS,6280,HIRE OF PREMISES,2012-07-02,3287269,3022724,7484.40,PONDS FORGE,320223,Leisure Services,LEISURE & RECREATION CENTRES
LD PARTNERSHIP CONTRACTS,9160,PARTNERSHIP CONTRACTS,2012-07-02,3287365,BE2013-6,13304.00,BRIDGE EMPLOYMENT,303748,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
