Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-04-03,3434267,ERS INVOICE81567,1755.00,NAVJOT AHLUAWALIA PARTNERSHIP LIMITED,424561,Medical,PSYCHIATRISTS
FAMILY & COMM MANAGEMENT,8440,FEE EXPENSES,2013-04-03,3434270,ERS INVOICE81570,1500.00,PJ TASTE LLP,525816,Catering,CATERERS
NORFOLK (HERITAGE) PARK (CITY),8010,EQUIPMENT PURCHASE AND REPAIR,2013-04-03,3434271,ERS INVOICE81572,3000.00,FRIENDS OF NORFOLK PARK,404792,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
COMMUNITY SUPPRT SERVICE FORUM,8370,PRINTING,2013-04-03,3434276,ERS INVOICE81581,270.00,CATHEDRAL ARCHER PROJECT LTD,479884,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
NORFOLK (HERITAGE) PARK (CITY),8010,EQUIPMENT PURCHASE AND REPAIR,2013-04-03,3434279,ERS INVOICE81585,700.00,TRUDI PATIENT,503822,Leisure Services,ENTERTAINERS
FAMILY & COMM MANAGEMENT,9120,OTHER AGENCIES,2013-04-03,3434280,ERS INVOICE81586,750.00,MELLOR WARE LTD,566303,Furniture,SOFT FURNISHINGS - RETAIL
FAMILY & COMM MANAGEMENT,9120,OTHER AGENCIES,2013-04-03,3434281,ERS INVOICE81587,750.00,PJ TASTE LLP,525816,Catering,CATERERS
FAMILY & COMM MANAGEMENT,9120,OTHER AGENCIES,2013-04-03,3434282,ERS INVOICE81588,1500.00,BURNGREAVE MESSENGER LTD,301418,Education,NEWSPAPER & MAGAZINE PUBLISHER
COM.UNITY,9120,OTHER AGENCIES,2013-04-03,3424720,INV000394,7255.96,SHORTBROOK PRIMARY SCHOOL - LADYBIRDS,537449,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
COM.UNITY,9120,OTHER AGENCIES,2013-04-03,3424721,INV000396,5865.14,SHORTBROOK PRIMARY SCHOOL - LADYBIRDS,537449,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
COM.UNITY,9120,OTHER AGENCIES,2013-04-03,3424722,INV000397,5865.14,SHORTBROOK PRIMARY SCHOOL - LADYBIRDS,537449,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
COM.UNITY,9120,OTHER AGENCIES,2013-04-03,3424723,INV000398,1054.76,SHORTBROOK PRIMARY SCHOOL - LADYBIRDS,537449,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
COM.UNITY,9120,OTHER AGENCIES,2013-04-03,3424724,INV000395,5865.14,SHORTBROOK PRIMARY SCHOOL - LADYBIRDS,537449,Unclassified Non Trade,SCHOOLS - LOCAL AUTHORITY
FUTURE PROOF NEETS 14 - 25,9120,OTHER AGENCIES,2013-04-03,3432112,363,610.20,A MIND APART THEATRE COMPANY LTD,508180,Education,DRAMA SCHOOLS
FUTURE PROOF NEETS 14 - 25,9120,OTHER AGENCIES,2013-04-03,3432113,715,2284.70,THE SOURCE AT MEADOWHALL,350485,Human Resources,TRAINING CENTRES
RED TAPE CENTRAL,6030,REPAIRS AND MTCE - RESPONSIVE,2013-04-03,3432114,224/13/0081364,435.29,SIEMENS FINANCIAL SERVICES LIMITED,297385,Financial Services,LEASING SERVICES
DISADVANTAGED AREA FUNDING,8440,FEE EXPENSES,2013-04-03,3432115,SASI00475,443.58,SHEFFIELD HALLAM UNIVERSITY,301311,Unclassified Non Trade,UNIVERSITIES & MEDICAL SCHOOLS
14 - 19 PROVISION,8440,FEE EXPENSES,2013-04-03,3433337,13/S98,450.00,LEACAN 14+ LTD,440500,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
RED TAPE CENTRAL,8440,FEE EXPENSES,2013-04-03,3433344,PNS121866,1826.13,PROTOCOL NATIONAL LTD,570558,Education,EDUCATIONAL SERVICES
FUTURE PROOF NEETS 14 - 25,9120,OTHER AGENCIES,2013-04-03,3433345,79,2264.60,IN2CHANGE SOUTH YORKS LTD,558793,Unclassified Non Trade,CHARITIES & VOLUNTARY ORGANISA
LOCALITY 1 MANAGEMENT+O/HEADS,8050,FURNITURE PURCHASES,2013-04-03,3433381,4733051RI,753.28,ARGOS LTD,426032,Unclassified Trade,CATALOGUE SHOWROOMS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-04-03,3433943,302.08.12,380.75,DOUGLAS H SAVAGE,337719,Unclassified Trade,DETECTIVE AGENCIES
FAMILY & COMM MANAGEMENT,8440,FEE EXPENSES,2013-04-03,3434044,I772229,1110.79,JIGSAW SYSTEMS LTD,206039,ICT,COMPUTER SYSTEMS & SOFTWARE (S
LOWFIELD,9120,OTHER AGENCIES,2013-04-03,3434082,SCCUMIXBUSRATES/130314,1884.07,FOOTBALL UNITES RACISM DIVIDES,297507,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
LOWFIELD,9120,OTHER AGENCIES,2013-04-03,3434092,SCCUMIXITCOSTS/130315,4998.66,FOOTBALL UNITES RACISM DIVIDES,297507,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
LOWFIELD,9120,OTHER AGENCIES,2013-04-03,3434093,SCCUMIXFITOUT/130202,1794.87,FOOTBALL UNITES RACISM DIVIDES,297507,Unclassified Non Trade,YOUTH ORGANISATIONS & CENTRES
NATIONAL ELECTIONS,6280,HIRE OF PREMISES,2013-04-03,3434095,MA52,300.00,JOHN HEATH & SONS,512922,Environmental Services,FUNERAL DIRECTORS
LOCALITY 2 MANAGEMENT+O/HEADS,8010,EQUIPMENT PURCHASE AND REPAIR,2013-04-03,3434106,INV/50247578,3662.73,TUNSTALL HEALTHCARE (UK) LIMITED,209178,ICT,TELECOMMUNICATIONS EQUIPMENT &
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2013-04-04,3435070,ERS INVOICE81592,358.70,DR TAYLOR,579845,Medical,DOCTORS
