Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
LEAVING CARE,9270,CARELEAVERS ACCOMMODATION,2013-10-01,3525041,440,2600.00,FUTURE 19,587046,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
EMTAS,8440,FEE EXPENSES,2013-10-01,3525426,ERS INVOICE90667,380.00,LINDSEY SCOTT,567670,Medical,LIFE COACHING
TRANSPORT FLEET MANAGEMENT,7030,VEHICLE EXCISE DUTY/OP LICENCE,2013-10-01,3525428,ERS INVOICE90671,820.00,VOSA,416211,Unclassified Non Trade,CENTRAL GOVERNMENT
EXECUTOR SERVICES,8090,BEREAVEMENT SUPPLIES,2013-10-01,3525429,ERS INVOICE90672,3035.73,REDACTED PERSONAL DATA,587889,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
EXECUTOR SERVICES,8090,BEREAVEMENT SUPPLIES,2013-10-01,3525430,ERS INVOICE90673,1473.33,REDACTED PERSONAL DATA,587899,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
SKINNERTHORPE SCC (EAST),1143,COMPENSATION,2013-10-01,3525431,ERS INVOICE90674,20000.00,LUPTON FAWCETT LEE & PRIESTLEY,548443,Legal Services,SOLICITORS
HULL - HUMBER SUB REGION HAL,1194,OTHER FEES,2013-10-01,3525442,ERS INVOICE90686,1800.00,CLASSICAL GAS LTD,546540,Construction,GAS INSTALLERS
NORFOLK PARK DRAINAGE SCHEME,1164,NC&A LANDSCAPING,2013-10-01,3525453,ERS INVOICE90698,2168.09,E W BREWIN,335301,Consultancy,SITE INVESTIGATION CONSULTANTS
VSP DELIVER,9140,PRIVATE CONTRACTORS,2013-10-01,3525460,ERS INVOICE90705,285.75,ENDEAVOUR TRAINING,347945,Human Resources,TRAINING SERVICES
INDEPENDENT RES BLOCK PLACEMEN,9270,INDEPENDENT RESIDENTIAL PMENT,2013-10-01,3525042,6099,3257.14,PROGRESSIVE CARE LTD,343548,Social Community Care,CHILDREN'S HOMES
