Business Unit Description,Expense Code,Expense Code Description,GL Date,Document No.,Invoice No.,Invoiced Value,Supplier Name,Address Book No.,Proclass Details Level 1,Thomson Classification Description
MINIBUSES - TENDERED,7060,EXTERNAL VEHICLE HIRE,2014-01-02,3575401,43356,6907.92,MINIBUS MASTER,586794,Transport,TAXIS & PRIVATE HIRE
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2014-01-02,3571105,12742,289.42,PARSONS DOWD PSYCHOLOGICAL LTD,563972,Medical,PSYCHOLOGISTS
SHEFFIELD HOMES HR,8460,CONSULTANTS FEES,2014-01-02,3575070,106763,3280.10,HEALTH MANAGEMENT LTD,531359,Medical,OCCUPATIONAL HEALTH
NORTH EAST,9120,OTHER AGENCIES,2014-01-02,3575096,2419,600.00,BURNGREAVE MESSENGER LTD,301418,Education,NEWSPAPER & MAGAZINE PUBLISHER
SAFER COMMUNITIES PARTNERSHIP,8440,FEE EXPENSES,2014-01-02,3575379,90357177,547.00,AMEY LG LTD,578587,Construction,ROAD CONSTRUCTION CONTRACTORS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2014-01-02,3575480,ERS INVOICE94842,840.37,NAVJOT AHLUAWALIA PARTNERSHIP LIMITED,424561,Medical,PSYCHIATRISTS
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2014-01-02,3575481,ERS INVOICE94843,880.87,NAVJOT AHLUAWALIA PARTNERSHIP LIMITED,424561,Medical,PSYCHIATRISTS
MINOR WORKS & ADAPTATIONS,6020,REPAIRS AND MTCE - PROGRAMMED,2014-01-02,3575483,ERS INVOICE94845,5320.00,NEIL MARRISON,459864,Construction,BUILDING SERVICES
CARE PROCEEDINGS (LEGAL FEES),8470,LEGAL FEES,2014-01-02,3575569,ERS INVOICE94847,664.50,THE FORENSIC PSYCHOLOGY AGENCY LTD.,430472,Medical,PSYCHOLOGISTS
IN HOUSE FOSTER PLACEMENT,9270,IN-HOUSE FOSTERING,2014-01-02,3575570,ERS INVOICE94848,300.00,REDACTED PERSONAL DATA,587757,Unclassified Non Trade,OUT OF SCOPE FOR SIC MONITORIN
