,,Directorate,Service,Supplier,Order,Invoice Line Value (net of VAT),Account
INSERTED DETAIL,,Resources Group,Resources,DE-POEL,0,506.11,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,FLOWERS BY NATTRASS,0,550,Materials
INSERTED DETAIL,,Resources Group,Resources,ISAPPHIRE LTD,3076392,1124.42,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,KOMODO DESIGN LTD,3076393,648.48,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,LOCAL GOVERNMENT ASSOCIATION,3076137,1737.66,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,866.25,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1303.75,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MICHAEL PAGE INTERNATIONAL,3069451,1522.50,Agency Staff Costs - Non Teaching
INSERTED DETAIL,,Resources Group,Resources,MRS ELAINE AVERIS,3077039,750,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,MRS GILLIAN KANE,3076798,1500.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,NEWSQUEST MEDIA GROUP,3066389,552,Marketing & Advertising
INSERTED DETAIL,,Resources Group,Resources,NORTHGATE PUBLIC SERVICES (UK) LTD,3064412,952.2,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Resources,ROYAL MAIL NORTH EAST,0,706.99,Postages
INSERTED DETAIL,,Resources Group,Resources,TERESA TAYLOR,3076148,1350.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Resources,THOMSON REUTERS,3076800,2489.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,THOMSON REUTERS,3076801,1965.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,THOMSON REUTERS,3076802,2313.00,Subscriptions
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1885.59,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1362.15,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,9386.12,Postages
INSERTED DETAIL,,Resources Group,Resources,WHISTL UK LIMITED,0,1708.58,Postages
INSERTED DETAIL,,Resources Group,Finance,2E2 UK LIMITED,0,5606.25,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Finance,ACE LTD,0,2400.00,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Finance,COLLIERS INTERNATIONAL,3076341,661.88,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Finance,LG FUTURES,3075308,1325.00,Subscriptions
INSERTED DETAIL,,Resources Group,Finance,MEADOWS ROAD CONSTRUCTION LTD - (IN LIQUIDATION),0,2135.93,Other Supplies & Services
INSERTED DETAIL,,Resources Group,Finance,MORGAN KAI LIMITED,3076697,3898.66,Ict Software Support & Maintenance
INSERTED DETAIL,,Resources Group,Finance,REDCAR & CLEVELAND BOROUGH COUNCIL,0,5472.00,Ict Hardware Support & Maintenance
INSERTED DETAIL,,Resources Group,Finance,THE COPYRIGHT LICENSING AGENCY LTD,0,4094.31,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Finance,THORLUX LIGHTING,0,940.52,Other Supplies & Services
INSERTED DETAIL,,Resources Group,ICT,CISILION LTD,3072097,5600.00,Ict Hardware Purchase
INSERTED DETAIL,,Resources Group,ICT,VIRGIN MEDIA BUSINESS,0,16245.20,Ict Hardware Support & Maintenance
INSERTED DETAIL,,Resources Group,Human resources management,ALLIANCE PSYCHOLOGICAL SERVICES,3067048,2254.00,Counselling Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BODY 2 FIT LTD,3067051,1540.00,Physiotherapy Recharge
INSERTED DETAIL,,Resources Group,Human resources management,BOND DICKINSON,3065636,4484.00,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,DISCLOSURE & BARRING SERVICE,0,2547.00,DBS Checks
INSERTED DETAIL,,Resources Group,Human resources management,MEDACS HEALTHCARE PLC,3067011,9391.34,Professional Fees & Consultancy
INSERTED DETAIL,,Resources Group,Human resources management,MH SAFETY SOLUTIONS,3076444,1125.00,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Human resources management,SYD STRIKE TRAINING SOLUTIONS,3076556,520,Employee Training Course Costs
INSERTED DETAIL,,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3074829,897,Repairs - Door Entry System
INSERTED DETAIL,,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3074181,574.25,Repairs - Door Entry System
INSERTED DETAIL,,Resources Group,Transformation,ARROW INDUSTRIAL GROUP LTD,3073699,5916.00,Repairs - Door Entry System
INSERTED DETAIL,,Resources Group,Transformation,BUNZL CLEANING & HYGIENE SUPPLIES,3076020,535.68,Cleaning Materials & Consumables
INSERTED DETAIL,,Resources Group,Transformation,COMBINED POWER (SOUTH) LTD,0,1370.01,Electricity
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1504.14,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1321.95,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1579.44,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,575.84,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,1521.99,Gas
INSERTED DETAIL,,Resources Group,Transformation,CORONA ENERGY LTD,0,876.45,Gas
